supplement_id,name_zh,name_en,category,longevity_evidence_level,skin_beauty_evidence_level,longevity_endpoint_class,skin_endpoint_class,supported_claim_zh,unsupported_claim_zh,safety_notes_zh,medical_supervision_needed,commercial_overclaim_risk,summary_zh,summary_en,status,last_checked
vitamin-d,维生素 D,Vitamin D,vitamin,B,D,L1/L2,M,缺乏或高风险人群的骨骼、跌倒和部分健康结局管理更有意义。,不支持健康人群普遍补充即可延寿或美容逆龄。,过量可导致高钙血症；检测和补充策略宜结合医生建议。,true,medium,维生素 D：健康寿命证据草判 B；皮肤美容证据草判 D。缺乏或高风险人群的骨骼、跌倒和部分健康结局管理更有意义。,Vitamin D: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
vitamin-c,维生素 C,Vitamin C,vitamin,C,C,L2,S1/S2,可支持缺乏风险、饮食不足或外用皮肤抗氧化方向的候选证据。,不支持高剂量口服维C延寿或替代防晒。,高剂量可能增加胃肠不适和结石风险人群负担。,false,medium,维生素 C：健康寿命证据草判 C；皮肤美容证据草判 C。可支持缺乏风险、饮食不足或外用皮肤抗氧化方向的候选证据。,Vitamin C: draft longevity evidence C; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
omega-3,Omega-3,Omega-3 Fatty Acids,fatty_acid,B,C,L1/L2,S1/M,部分心血管、甘油三酯和炎症相关场景有证据基础。,不支持声称普通人补充即可延寿或全面抗炎抗老。,抗凝药、手术前和高剂量使用需医疗评估。,true,medium,Omega-3：健康寿命证据草判 B；皮肤美容证据草判 C。部分心血管、甘油三酯和炎症相关场景有证据基础。,Omega-3 Fatty Acids: draft longevity evidence B; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
collagen-peptides,胶原蛋白/胶原肽,Collagen Peptides,protein,D,B,M,S1,可支持皮肤水分、弹性和皱纹等外观终点的候选证据。,不支持声称补胶原能直接变成年轻皮肤或延寿。,注意过敏、蛋白来源和基础肾病人群。,false,high,胶原蛋白/胶原肽：健康寿命证据草判 D；皮肤美容证据草判 B。可支持皮肤水分、弹性和皱纹等外观终点的候选证据。,Collagen Peptides: draft longevity evidence D; draft skin/beauty evidence B. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
protein-eaa,蛋白粉/必需氨基酸,Protein / Essential Amino Acids,protein,B,D,L2,M,可支持肌肉、衰弱和营养不足相关健康寿命终点。,不支持作为皮肤美容或延寿万能补剂。,肾病、肝病和特殊疾病人群需医生/营养师评估。,true,medium,蛋白粉/必需氨基酸：健康寿命证据草判 B；皮肤美容证据草判 D。可支持肌肉、衰弱和营养不足相关健康寿命终点。,Protein / Essential Amino Acids: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
creatine,肌酸,Creatine,sports_nutrition,B,D,L2,M,可支持力量、肌肉和老年功能相关候选证据。,不支持声称抗衰逆龄或皮肤美容明确有效。,肾病或多药人群需医疗评估。,true,medium,肌酸：健康寿命证据草判 B；皮肤美容证据草判 D。可支持力量、肌肉和老年功能相关候选证据。,Creatine: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
calcium-magnesium,钙/镁,Calcium / Magnesium,mineral,B,D,L1/L2,M,特定缺乏、骨骼或膳食不足场景可有意义。,不支持无差别补充来延寿或美容。,钙补充与肾结石、心血管风险讨论需个体化；镁也需注意肾功能。,true,medium,钙/镁：健康寿命证据草判 B；皮肤美容证据草判 D。特定缺乏、骨骼或膳食不足场景可有意义。,Calcium / Magnesium: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
zinc,锌,Zinc,mineral,C,C,L2,S1/M,缺乏或特定皮肤炎症场景可作为候选证据。,不支持长期高剂量用于抗老或提升免疫。,长期过量可影响铜代谢和胃肠耐受。,true,medium,锌：健康寿命证据草判 C；皮肤美容证据草判 C。缺乏或特定皮肤炎症场景可作为候选证据。,Zinc: draft longevity evidence C; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
coq10,辅酶 Q10,Coenzyme Q10,mitochondrial,C,D,L2/M,M,可作为线粒体、心血管和疲劳相关候选证据。,不支持声称明确延寿或皮肤逆龄。,与抗凝药和慢病用药需注意相互作用。,true,high,辅酶 Q10：健康寿命证据草判 C；皮肤美容证据草判 D。可作为线粒体、心血管和疲劳相关候选证据。,Coenzyme Q10: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
melatonin,褪黑素,Melatonin,sleep,B,D,L2,M,可支持睡眠节律相关场景的候选证据。,不支持把它作为长期抗衰或美容补剂。,嗜睡、药物相互作用、孕期和儿童需谨慎。,true,medium,褪黑素：健康寿命证据草判 B；皮肤美容证据草判 D。可支持睡眠节律相关场景的候选证据。,Melatonin: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
