question_id,domain,topic_id,title_zh,title_en,framework,population_zh,population_en,intervention_or_exposure_zh,intervention_or_exposure_en,comparator_zh,comparator_en,outcomes_zh,outcomes_en,preferred_study_designs,exclusion_or_boundary_zh,last_checked
q-healthspan-cardiorespiratory-fitness,healthspan,cardiorespiratory-fitness,心肺适能与死亡风险,Cardiorespiratory Fitness and Mortality,PICO/PECO,普通成人或临床人群。,Adults in general or clinical populations.,较高心肺适能，或能够提高心肺适能的运动/康复干预。,Higher measured cardiorespiratory fitness or interventions that improve CRF.,较低心肺适能、缺乏运动或常规照护。,"Lower CRF, inactive control, or usual care.",全因死亡、心血管死亡、功能能力。,"All-cause mortality, cardiovascular mortality, functional capacity.",systematic review/meta-analysis; large RCT; large prospective cohort; Mendelian randomization where appropriate,不能把总体关联直接写成任何个体都适合高强度训练；运动处方需考虑疾病、年龄和风险。,2026-08-28
q-healthspan-physical-activity-healthspan,healthspan,physical-activity-healthspan,身体活动与健康寿命,Physical Activity and Healthspan,PICO/PECO,不同年龄段成人。,Adults across age groups.,规律身体活动，尤其是中高强度活动和减少久坐。,"Regular physical activity, especially moderate-to-vigorous activity and reduced sedentary time.",低活动量或久坐行为。,Lower activity or sedentary behavior.,死亡、心血管疾病、糖尿病、功能、衰弱。,"Mortality, cardiovascular disease, diabetes, function, frailty.",systematic review/meta-analysis; large RCT; large prospective cohort; Mendelian randomization where appropriate,不能把它写成单一万能运动处方，也不能忽略伤病和基础疾病。,2026-08-28
q-healthspan-resistance-training-muscle,healthspan,resistance-training-muscle,抗阻训练、肌肉与衰弱,"Resistance Training, Muscle, and Frailty",PICO/PECO,成人，尤其是老年人或肌少/衰弱风险人群。,"Adults, especially older adults or people at risk of sarcopenia/frailty.",抗阻训练、力量训练和保肌干预。,"Resistance training, strength training, muscle-preserving interventions.",无抗阻训练、常规照护或较低训练暴露。,"No resistance training, usual care, or lower training exposure.",力量、肌肉量、身体功能、跌倒、衰弱。,"Strength, muscle mass, physical function, falls, frailty.",systematic review/meta-analysis; large RCT; large prospective cohort; Mendelian randomization where appropriate,不能保证每个人增肌或逆转衰弱；高龄、骨质疏松和慢病人群需评估。,2026-08-28
q-healthspan-blood-pressure-aging,healthspan,blood-pressure-aging,血压与健康寿命,Blood Pressure and Healthspan,PICO/PECO,血压正常、升高或高血压成人。,"Adults with normal, elevated, or hypertensive blood pressure.",血压监测、生活方式管理和循证降压治疗。,"Blood pressure monitoring, lifestyle management, and evidence-based antihypertensive treatment.",未治疗或控制较差的血压。,Untreated or less controlled blood pressure.,卒中、心血管事件、肾脏结局、死亡。,"Stroke, cardiovascular events, kidney outcomes, mortality.",systematic review/meta-analysis; large RCT; large prospective cohort; Mendelian randomization where appropriate,不能在图谱中给个人药物选择或剂量；治疗目标需医生决定。,2026-08-28
q-healthspan-ldl-apob-cardiovascular-risk,healthspan,ldl-apob-cardiovascular-risk,LDL-C/apoB 与心血管风险,LDL-C/apoB and Cardiovascular Risk,PICO/PECO,不同 ASCVD 风险、血脂异常、糖尿病或已确诊心血管病成人。,"Adults with varying ASCVD risk, dyslipidemia, diabetes, or established cardiovascular disease.",降低 LDL-C/apoB 暴露或降脂治疗。,Lower LDL-C/apoB exposure or lipid-lowering treatment.,较高 LDL-C/apoB 暴露或较弱管理。,Higher LDL-C/apoB exposure or less intensive management.,ASCVD 事件、心梗、卒中、心血管死亡。,"ASCVD events, myocardial infarction, stroke, cardiovascular mortality.",systematic review/meta-analysis; large RCT; large prospective cohort; Mendelian randomization where appropriate,不能替代个体化风险分层和处方；过低/过高治疗强度都需医生判断。,2026-08-28
q-healthspan-dietary-pattern-longevity,healthspan,dietary-pattern-longevity,饮食模式与死亡风险,Dietary Patterns and Mortality,PICO/PECO,普通成人或心代谢风险人群。,Adults in general population or cardiometabolic risk groups.,地中海/DASH 等健康饮食模式或更高饮食质量。,Healthy dietary patterns such as Mediterranean/DASH-style patterns or higher diet quality.,较低饮食质量、超加工或不健康饮食模式。,"Lower diet quality, ultra-processed or less healthy patterns.",死亡、心血管疾病、糖尿病、体重和代谢指标。,"Mortality, cardiovascular disease, diabetes, weight and metabolic markers.",systematic review/meta-analysis; large RCT; large prospective cohort; Mendelian randomization where appropriate,不能神化单一食物、超级食物或补剂，也不能给出个人治疗饮食。,2026-08-28
q-healthspan-sleep-aging,healthspan,sleep-aging,睡眠与健康结局,Sleep and Aging Outcomes,PICO/PECO,睡眠正常、短睡/长睡、失眠症状或睡眠呼吸障碍风险成人。,"Adults with normal sleep, short/long sleep, insomnia symptoms, or sleep-disordered breathing risk.",改善睡眠时长/质量，识别和治疗睡眠障碍。,"Sleep duration/quality improvement, sleep disorder identification and treatment.",睡眠差、未治疗睡眠障碍或睡眠节律不规律。,"Poor sleep, untreated sleep disorder, or irregular sleep patterns.",死亡、心代谢结局、认知、心理健康、日间功能。,"Mortality, cardiometabolic outcomes, cognition, mental health, daytime function.",systematic review/meta-analysis; large RCT; large prospective cohort; Mendelian randomization where appropriate,不能把睡眠关联直接写成某种补剂或单一技巧能延寿。,2026-08-28
q-healthspan-glp1-weight-cardiometabolic,healthspan,glp1-weight-cardiometabolic,GLP-1、减重与心代谢结局,"GLP-1, Weight Loss, and Cardiometabolic Outcomes",PICO/PECO,肥胖、糖尿病或高心代谢风险成人。,"Adults with obesity, diabetes, or high cardiometabolic risk.",GLP-1 受体激动剂或相关肠促胰素药物治疗。,GLP-1 receptor agonists or related incretin-based pharmacotherapy.,安慰剂、常规照护或其他体重/心代谢管理。,"Placebo, usual care, or alternative weight/cardiometabolic management.",体重、血糖、心血管事件、不良反应。,"Weight, glycemic outcomes, cardiovascular events, adverse events.",systematic review/meta-analysis; large RCT; large prospective cohort; Mendelian randomization where appropriate,这是处方药医学主题，不能被包装成普通抗衰或美容减肥建议。,2026-08-28
q-healthspan-caloric-restriction-human,healthspan,caloric-restriction-human,热量限制与人体衰老,Caloric Restriction in Humans,PICO/PECO,没有禁忌证的成人。,Adults without contraindications to dietary energy restriction.,营养充足前提下的适度热量限制。,Moderate caloric restriction with adequate nutrition.,自由进食或常规饮食。,Ad libitum diet or usual diet.,体重、心代谢指标、衰老 biomarker、安全性。,"Weight, cardiometabolic markers, aging biomarkers, safety.",systematic review/meta-analysis; RCT; prospective cohort; high-quality mechanistic bridge only as support,不能鼓励极端节食；孕期、进食障碍、慢病和高龄人群需谨慎。,2026-08-28
q-healthspan-time-restricted-eating,healthspan,time-restricted-eating,限时进食与代谢健康,Time-Restricted Eating and Metabolic Health,PICO/PECO,有或无心代谢风险的成人。,Adults with or without cardiometabolic risk.,限时进食或间歇性禁食窗口。,Time-restricted eating or intermittent fasting windows.,常规进食时间或连续热量限制。,Usual eating timing or continuous energy restriction.,体重、血糖、血脂、血压、依从性和安全性。,"Weight, glycemic markers, lipids, blood pressure, adherence and safety.",systematic review/meta-analysis; RCT; prospective cohort; high-quality mechanistic bridge only as support,糖尿病用药、孕期、进食障碍和低体重人群不应自行尝试。,2026-08-28
