term_id,term_zh,plain_explanation_zh,example_zh,reader_warning_zh,last_checked
term-001,健康寿命,不是只看活多久，而是看能不能少生病、功能更好、生活质量更高。,运动、血压、饮食、睡眠都属于健康寿命话题。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-002,抗衰,很容易被商业宣传滥用。本项目只把它当作研究问题，不把它当承诺。,NMN、雷帕霉素、senolytics 都要谨慎。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-003,外观抗老,主要看皮肤外观，例如光老化、皱纹、色斑、水分、屏障。,防晒是外观抗老基础证据。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-004,证据等级,表示当前证据可靠程度，不是个人行动命令。,A 比 C 更可靠，但 A 也不等于你应该马上做。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-005,A 级,当前比较可靠、可优先理解的方向。,防晒预防光老化、血压管理等。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-006,B 级,有较多支持，但仍有限制。,热量限制、限时进食等。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-007,C 级,有线索，但不够确定。,很多补剂和前沿机制方向。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-008,D 级,很早期，多为动物、细胞或机制研究。,小鼠寿命实验不能直接变成人类建议。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-009,硬终点,比较实在、重要的结果，比如死亡、心梗、卒中、骨折。,比单纯指标变化更重要。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-010,软终点,有意义但不一定等于真正健康获益的结果，比如皮肤水分、皱纹评分、某些体感指标。,皮肤水分改善不等于延寿。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-011,Biomarker 生物标志物,身体里的某个指标，可能提示风险或变化，但不一定代表真正结局。,表观遗传时钟变年轻不等于一定活得更久。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-012,RCT 随机对照试验,把人随机分到干预组和对照组，通常比普通观察更可靠。,但也要看样本量、时间和偏倚。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-013,系统综述,把同一问题的很多研究系统找出来、整理和评价。,质量高低要用 AMSTAR 2 等工具看。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-014,Meta 分析,把多个研究的数据合并计算。,合并不代表一定正确，要看研究是否能合并。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-015,队列研究,跟踪一群人一段时间，看暴露和结局关系。,能发现关联，但不一定证明因果。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-016,机制研究,解释可能为什么有效，常见于细胞、动物或分子层面。,机制好看不等于人体有效。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-017,动物研究,在小鼠等动物上做实验。,很重要，但不能直接当成人类建议。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-018,相关不等于因果,两个事情一起出现，不代表一个一定导致另一个。,睡眠差和疾病相关，但具体原因要进一步研究。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-019,风险偏倚,研究设计或执行中的问题，可能让结果看起来比真实更好或更差。,没有盲法、失访多、选择性报告都可能带来偏倚。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
