编号,领域,主题,证据,一句话,一句话总结,常见误解,注意,打开,研究版路径,更新日期
T001,健康寿命,心肺适能与死亡风险,A：较强,目前最值得优先关注的健康寿命指标之一；较高心肺适能与更低死亡和心血管风险高度相关。,简单说，就是心肺能力越好，长期健康风险通常越低。不要突然猛练。,不要把群体研究直接当成个人方案。 可作为生活方式优先方向；个体运动处方需结合年龄、疾病和医生评估。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/topics/cardiorespiratory-fitness.md,2026-08-09
T002,健康寿命,身体活动与健康寿命,A：较强,整体证据方向稳定：规律身体活动支持更好的健康结局和功能维持。,规律活动、少久坐，是最值得先做好的基础方向之一。,不要把群体研究直接当成个人方案。 支持行动方向，不等于给出单一万能运动处方。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/topics/physical-activity-healthspan.md,2026-08-09
T003,健康寿命,抗阻训练、肌肉与衰弱,A：较强,肌肉量、力量和功能是健康寿命的关键支点；抗阻训练是高优先级主题。,中年以后，肌肉和力量很重要；训练要循序渐进。,不要把群体研究直接当成个人方案。 可作为健康管理重点；高龄、骨质疏松或慢病人群需专业评估。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/topics/resistance-training-muscle.md,2026-08-09
T004,健康寿命,血压与健康寿命,A：较强,血压控制是心脑血管风险和健康寿命管理中证据最成熟的方向之一。,知道并管理血压，比追逐抗衰产品更重要。用药问题交给医生。,不要把群体研究直接当成个人方案。 支持监测和医学管理；不提供药物选择或剂量建议。,需要。疾病指标、处方药或医美操作，要专业评估。,研究版主题页,content/topics/blood-pressure-aging.md,2026-08-09
T005,健康寿命,LDL-C/apoB 与心血管风险,A：较强,动脉粥样硬化风险管理中的核心证据方向；apoB/LDL-C 是重要风险指标。,LDL-C 和 apoB 是心血管风险的重要指标；是否用药要医生判断。,不要把群体研究直接当成个人方案。 支持筛查和风险管理；药物治疗必须由医生决定。,需要。疾病指标、处方药或医美操作，要专业评估。,研究版主题页,content/topics/ldl-apob-cardiovascular-risk.md,2026-08-09
T006,健康寿命,饮食模式与死亡风险,A：较强,饮食模式比单一补剂更适合作为对外健康建议框架。,重点看整体饮食模式，不要迷信单一食物或超级补剂。,不要把群体研究直接当成个人方案。 支持模式层面的建议，不支持神化单一食物或补剂。,阅读不用；慢病、用药、孕期、高龄或明显不适时需要。,研究版主题页,content/topics/dietary-pattern-longevity.md,2026-08-09
T007,健康寿命,睡眠与健康结局,A：较强,睡眠是认知、代谢、心血管和整体健康的重要基础变量。,长期睡不好值得认真处理，打鼾严重或白天嗜睡要评估。,不要把群体研究直接当成个人方案。 支持识别和管理睡眠问题；严重失眠、睡眠呼吸暂停需医疗评估。,阅读不用；慢病、用药、孕期、高龄或明显不适时需要。,研究版主题页,content/topics/sleep-aging.md,2026-08-09
T008,健康寿命,GLP-1、减重与心代谢结局,A：较强,临床证据增长很快，主要价值在肥胖、糖代谢和心代谢风险管理。,这是处方药主题，不是普通抗衰工具。,不要把群体研究直接当成个人方案。 这是医疗主题，不是普通抗衰保健建议；必须医生监督。,需要。疾病指标、处方药或医美操作，要专业评估。,研究版主题页,content/topics/glp1-weight-cardiometabolic.md,2026-08-09
T009,健康寿命,热量限制与人体衰老,B：中等,人体证据有价值但边界明显，不能直接等同于延寿已证实。,少吃一点可能有代谢好处，但不等于人人都该节食。,不要把群体研究直接当成个人方案。 不建议盲目长期极端节食；需关注营养充足和个体风险。,阅读不用；慢病、用药、孕期、高龄或明显不适时需要。,研究版主题页,content/topics/caloric-restriction-human.md,2026-08-09
T010,健康寿命,限时进食与代谢健康,B：中等,可作为代谢健康候选策略，但证据强度和适用人群仍不稳定。,限时进食可关注，但不要把它当成万能减肥或延寿办法。,不要把群体研究直接当成个人方案。 糖尿病、孕期、进食障碍或用药人群不应自行尝试。,阅读不用；慢病、用药、孕期、高龄或明显不适时需要。,研究版主题页,content/topics/time-restricted-eating.md,2026-08-09
T011,健康寿命,二甲双胍与衰老,B：中等,二甲双胍与衰老 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,二甲双胍是药物，不是健康人随便吃的抗衰补剂。,不要把群体研究直接当成个人方案。 不支持把候选证据写成个人医疗、补剂或抗衰处方。,需要。疾病指标、处方药或医美操作，要专业评估。,研究版主题页,content/topics/metformin-aging.md,2026-08-09
T012,健康寿命,雷帕霉素/mTOR 与衰老,C：有限,雷帕霉素/mTOR 与衰老 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,雷帕霉素属于高风险药物方向，不能自行尝试。,不要把群体研究直接当成个人方案。 不支持把候选证据写成个人医疗、补剂或抗衰处方。,需要。疾病指标、处方药或医美操作，要专业评估。,研究版主题页,content/topics/rapamycin-mtor-aging.md,2026-08-09
T013,健康寿命,Senolytics 清除衰老细胞,C：有限,Senolytics 清除衰老细胞 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,清除衰老细胞是前沿方向，不是普通人自用方案。,不要把群体研究直接当成个人方案。 不支持把候选证据写成个人医疗、补剂或抗衰处方。,需要。疾病指标、处方药或医美操作，要专业评估。,研究版主题页,content/topics/senolytics.md,2026-08-09
T014,健康寿命,NAD/NMN/NR,C：有限,NAD/NMN/NR 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,NAD/NMN/NR 还属于候选方向，不等于已经证明能延寿。,不要把群体研究直接当成个人方案。 不支持把候选证据写成个人医疗、补剂或抗衰处方。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/topics/nad-nmn-nr-aging.md,2026-08-09
T015,健康寿命,表观遗传时钟,B：中等,表观遗传时钟 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,表观遗传时钟是指标，不等于真正变年轻或活更久。,不要把群体研究直接当成个人方案。 不支持把候选证据写成个人医疗、补剂或抗衰处方。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/topics/epigenetic-clocks.md,2026-08-09
T016,健康寿命,ITP 小鼠寿命干预,D：很早期,ITP 小鼠寿命干预 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,ITP 小鼠寿命干预 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,不要把群体研究直接当成个人方案。 不支持把候选证据写成个人医疗、补剂或抗衰处方。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/topics/itp-mouse-lifespan.md,2026-08-09
T017,健康寿命,Klotho / IL-11,C：有限,Klotho / IL-11 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,Klotho / IL-11 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,不要把群体研究直接当成个人方案。 不支持把候选证据写成个人医疗、补剂或抗衰处方。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/topics/klotho-il11-aging.md,2026-08-09
