table_guide_id,table_name,plain_purpose_zh,how_to_read_zh,best_for,do_not_misread_zh,last_checked
table-01,新手阅读指南,给第一次看的普通读者。先读这个。,读标题、解释、该做什么、不该做什么。,所有人,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-02,普通读者主题指南,把 28 个主题翻译成人话。,先看等级，再看普通人怎么看、要不要问医生。,普通读者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-03,术语解释,解释 RCT、终点、biomarker、GRADE 等词。,看到不懂的词就来查。,普通读者和编辑,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-04,对外总览,健康寿命主图谱的 20 个主题总表。,看哪些方向更成熟，哪些仍早期。,普通读者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-05,外观抗老总览,皮肤和外观抗老的 8 个主题。,区分皮肤证据和寿命证据。,普通读者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-06,补剂证据矩阵,100 个补剂/成分的证据边界。,重点看不支持的说法和安全边界。,普通读者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-07,Claim级证据评级,把每个主题拆成具体说法。,确认某句话是否被支持。,编辑和严肃读者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-08,PICO_PECO问题框架,每个主题到底问什么问题。,看研究对象、干预/暴露、对照和结局。,研究管理者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-09,核心复核队列,A/B 级主题需要优先人工复核的核心文献。,按 P1/P2 和工具逐条复核。,内部复核者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-10,方法学复核计划,告诉复核者该用 AMSTAR 2、RoB 2 还是 ROBINS-I。,按工具填复核结论。,内部复核者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-11,文献库全量,5983 条全量文献候选库。,搜索 PMID、标题、主题，确认文献是否已入库。,内部和进阶读者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-12,文献总表,900 条当前较高权重的证据矩阵。,看正式纳入候选的研究类型、终点、等级。,研究管理者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-13,候选文献,原始候选池和同步字段。,保留全部来源，不代表都支持结论。,内部管理者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
table-14,发布日志,每次 GitHub 和飞书同步记录。,看什么时候更新了什么。,项目管理者,表里的记录不等于个人建议；涉及疾病、药物、医美和高剂量补剂时先问专业人员。,2026-04-29
