candidate_id,source,pmid,doi,title_en,topic_id,previous_query,previous_status,decision,reason,duplicate_of,retired_date,recovery_source
pubmed-11184113,PubMed,11184113,10.4278/0890-1171-15.1.1,"Sedentary habits, health, and function in older women and men.",cardiorespiratory-fitness,cardiorespiratory-fitness__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-11213870,PubMed,11213870,10.2337/diacare.24.2.228,Beneficial effects of a soy-based dietary supplement on lipid levels and cardiovascular risk markers in type 2 diabetic subjects.,ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-12819249,PubMed,12819249,10.1097/01.asn.0000071515.27754.67,Improved cardiovascular risk profile and renal function in renal transplant patients after randomized conversion from cyclosporine to tacrolimus.,ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-12819963,PubMed,12819963,10.1007/s00431-003-1257-0,Lipoprotein(a) and cardiovascular risk factors in a cohort of 6-year-old children. The Rivas-Vaciamadrid Study.,ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-14970839,PubMed,14970839,10.1038/sj.ijo.0802577,Polyphenolics and fat absorption.,ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-15047679,PubMed,15047679,10.1080/07315724.2004.10719353,Effect of low and high fat diets on nutrient intakes and selected cardiovascular risk factors in sedentary men and women.,ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-15211365,PubMed,15211365,10.1038/sj.ijo.0802713,"Association between C-reactive protein, metabolic cardiovascular risk factors, obesity and oral contraceptive use in young adults.",ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-15673344,PubMed,15673344,10.1111/j.1532-5415.2005.53106.x,Relationship between plasma lipids and all-cause mortality in nondemented elderly.,ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-28315697,PubMed,28315697,10.1016/j.mad.2017.03.005,The role of the TOR pathway in mediating the link between nutrition and longevity.,metformin-aging,metformin-aging__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-28544158,PubMed,28544158,10.1111/acel.12601,Molecular and physiological manifestations and measurement of aging in humans.,metformin-aging,metformin-aging__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-28947430,PubMed,28947430,10.1161/CIRCULATIONAHA.117.028728,SIRT2 Acts as a Cardioprotective Deacetylase in Pathological Cardiac Hypertrophy.,metformin-aging,metformin-aging__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-30725910,PubMed,30725910,,Amitriptyline.,sleep-aging,sleep-aging__curated_recent_update_2026_09_late,intake_pending_curation,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-30969530,PubMed,30969530,,Sudden Death in Athletes.,physical-activity-healthspan,physical-activity-healthspan__curated_recent_update_2026_09_late,intake_pending_curation,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-32369550,PubMed,32369550,10.1042/BST20190109,Functional heterogeneity in senescence.,senolytics,senolytics__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-32386656,PubMed,32386656,10.1016/j.jaci.2020.03.016,Can blocking inflammation enhance immunity during aging?,senolytics,senolytics__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-32541838,PubMed,32541838,10.1038/s41388-020-1354-9,Senescence as a therapeutically relevant response to CDK4/6 inhibitors.,senolytics,senolytics__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-32752135,PubMed,32752135,10.3390/cancers12082134,Senescence and Cancer: A Review of Clinical Implications of Senescence and Senotherapies.,senolytics,senolytics__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-33534782,PubMed,33534782,10.12659/MSM.928937,"U-Shaped Relationship Between Cardiovascular Mortality and Serum Uric Acid May Be Attributed to Stroke- and Heart-Specific Mortality, Respectively, Among Hypertensive Patients: A Nationally Representative Cohort Study.",blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-33714797,PubMed,33714797,10.1016/j.clineuro.2021.106564,Risk factors among stroke subtypes and its impact on the clinical outcome of patients of Northern Portugal under previous aspirin therapy.,blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-34128952,PubMed,34128952,10.5830/CVJA-2021-016,"The spectrum, prevalence and in-hospital outcomes of cardiovascular diseases in a South African district hospital: a retrospective study.",blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-34237081,PubMed,34237081,10.1371/journal.pone.0253856,Prevalence and incidence of possible vascular dementia among Mexican older adults: Analysis of the Mexican Health and Aging Study.,blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-34238444,PubMed,34238444,10.1016/j.amjcard.2021.05.015,"Coronary Revascularization in the Past Two Decades in Japan (From the CREDO-Kyoto PCI/CABG Registries Cohort-1, -2, and -3).",blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-34283210,PubMed,34283210,10.1167/iovs.62.9.28,Hypertensive Retinopathy and the Risk of Stroke Among Hypertensive Adults in China.,blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-35014565,PubMed,35014565,10.1177/17474930211070682,Vascular risk factors and stroke risk across the life span: A population-representative study of half a million people.,blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-35081540,PubMed,35081540,10.1159/000521547,Cardiometabolic and Vascular Disease Factors and Mild Cognitive Impairment and Dementia.,blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-35138681,PubMed,35138681,10.1111/joim.13467,Ambient air pollution and cardiovascular diseases: An umbrella review of systematic reviews and meta-analyses.,blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-36093703,PubMed,36093703,10.3233/JAD-220548,Associations Between Vascular Diseases and Alzheimer's Disease or Related Dementias in a Large Cohort of Men and Women with Colorectal Cancer.,blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-36251836,PubMed,36251836,,Tirzepatide.,glp1-weight-cardiometabolic,glp1-weight-cardiometabolic__curated_recent_update_2026_09_late,intake_pending_curation,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-36622660,PubMed,36622660,10.1001/jamainternmed.2022.6117,Healthy Eating Patterns and Risk of Total and Cause-Specific Mortality.,dietary-pattern-longevity,dietary-pattern-longevity__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-36633311,PubMed,36633311,10.1097/HJH.0000000000003368,Benefit of treatment based on indapamide mostly combined with perindopril on mortality and cardiovascular outcomes: a pooled analysis of four trials.,blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-36946446,PubMed,36946446,10.14283/jpad.2023.8,A Large Retrospective Cohort Study on the Risk of Alzheimer's Disease and Related Dementias in Association with Vascular Diseases and Cancer Therapy in Men with Prostate Cancer.,blood-pressure-aging,blood-pressure-aging__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-37076174,PubMed,37076174,10.1136/bmj-2022-073406,Beverage consumption and mortality among adults with type 2 diabetes: prospective cohort study.,dietary-pattern-longevity,dietary-pattern-longevity__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
pubmed-37439885,PubMed,37439885,10.1007/s10522-023-10041-2,Measuring healthy ageing: current and future tools.,epigenetic-clocks,epigenetic-clocks__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-21,Git history and prior public-data snapshots
