reader_topic_id,display_order,domain,topic_id,title_zh,title_en,public_level,level_plain_zh,one_sentence_zh,what_this_means_for_reader_zh,what_not_to_conclude_zh,doctor_or_professional_needed_zh,how_to_read_next_zh,evidence_level_explained_zh,last_checked
reader-健康寿命-cardiorespiratory-fitness,1,健康寿命,cardiorespiratory-fitness,心肺适能与死亡风险,Cardiorespiratory Fitness and Mortality,A,强,目前最值得优先关注的健康寿命指标之一；较高心肺适能与更低死亡和心血管风险高度相关。,先把它理解为：规律活动和心肺能力很重要。不要突然上高强度训练。,可作为生活方式优先方向；个体运动处方需结合年龄、疾病和医生评估。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,A 级：比较可靠，可以优先看，但仍不是个人处方。 适合放在第一梯队理解。,2026-04-29
reader-健康寿命-physical-activity-healthspan,2,健康寿命,physical-activity-healthspan,身体活动与健康寿命,Physical Activity and Healthspan,A,强,整体证据方向稳定：规律身体活动支持更好的健康结局和功能维持。,先把它理解为：规律活动和心肺能力很重要。不要突然上高强度训练。,支持行动方向，不等于给出单一万能运动处方。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,A 级：比较可靠，可以优先看，但仍不是个人处方。 适合放在第一梯队理解。,2026-04-29
reader-健康寿命-resistance-training-muscle,3,健康寿命,resistance-training-muscle,抗阻训练、肌肉与衰弱,"Resistance Training, Muscle, and Frailty",A,强,肌肉量、力量和功能是健康寿命的关键支点；抗阻训练是高优先级主题。,先把它理解为：肌肉和力量是中年以后健康的重要资产。动作和负重要循序渐进。,可作为健康管理重点；高龄、骨质疏松或慢病人群需专业评估。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,A 级：比较可靠，可以优先看，但仍不是个人处方。 适合放在第一梯队理解。,2026-04-29
reader-健康寿命-blood-pressure-aging,4,健康寿命,blood-pressure-aging,血压与健康寿命,Blood Pressure and Healthspan,A,强,血压控制是心脑血管风险和健康寿命管理中证据最成熟的方向之一。,先把它理解为：知道自己的血压，并按医生建议管理，比追逐抗衰补剂更重要。,支持监测和医学管理；不提供药物选择或剂量建议。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,是。涉及药物、疾病指标、处方药或医美操作时，应先问医生或合格专业人员。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,A 级：比较可靠，可以优先看，但仍不是个人处方。 适合放在第一梯队理解。,2026-04-29
reader-健康寿命-ldl-apob-cardiovascular-risk,5,健康寿命,ldl-apob-cardiovascular-risk,LDL-C/apoB 与心血管风险,LDL-C/apoB and Cardiovascular Risk,A,强,动脉粥样硬化风险管理中的核心证据方向；apoB/LDL-C 是重要风险指标。,先把它理解为：LDL-C/apoB 是心血管风险管理的重要指标，是否用药要医生判断。,支持筛查和风险管理；药物治疗必须由医生决定。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,是。涉及药物、疾病指标、处方药或医美操作时，应先问医生或合格专业人员。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,A 级：比较可靠，可以优先看，但仍不是个人处方。 适合放在第一梯队理解。,2026-04-29
reader-健康寿命-dietary-pattern-longevity,6,健康寿命,dietary-pattern-longevity,饮食模式与死亡风险,Dietary Patterns and Mortality,A,强,饮食模式比单一补剂更适合作为对外健康建议框架。,先看整体饮食模式，不要迷信单一食物、超级食物或补剂。,支持模式层面的建议，不支持神化单一食物或补剂。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,A 级：比较可靠，可以优先看，但仍不是个人处方。 适合放在第一梯队理解。,2026-04-29
reader-健康寿命-sleep-aging,7,健康寿命,sleep-aging,睡眠与健康结局,Sleep and Aging Outcomes,A,强,睡眠是认知、代谢、心血管和整体健康的重要基础变量。,先把它理解为：长期睡不好值得认真处理，严重打鼾或白天嗜睡要评估睡眠呼吸问题。,支持识别和管理睡眠问题；严重失眠、睡眠呼吸暂停需医疗评估。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,A 级：比较可靠，可以优先看，但仍不是个人处方。 适合放在第一梯队理解。,2026-04-29
reader-健康寿命-glp1-weight-cardiometabolic,8,健康寿命,glp1-weight-cardiometabolic,GLP-1、减重与心代谢结局,"GLP-1, Weight Loss, and Cardiometabolic Outcomes",A,强,临床证据增长很快，主要价值在肥胖、糖代谢和心代谢风险管理。,这是处方药主题，只能在医生管理下讨论，不是普通抗衰工具。,这是医疗主题，不是普通抗衰保健建议；必须医生监督。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,是。涉及药物、疾病指标、处方药或医美操作时，应先问医生或合格专业人员。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,A 级：比较可靠，可以优先看，但仍不是个人处方。 适合放在第一梯队理解。,2026-04-29
reader-健康寿命-caloric-restriction-human,9,健康寿命,caloric-restriction-human,热量限制与人体衰老,Caloric Restriction in Humans,B,中上,人体证据有价值但边界明显，不能直接等同于延寿已证实。,先读结论边界，再看是否属于生活方式、医学治疗、补剂或医美场景。,不建议盲目长期极端节食；需关注营养充足和个体风险。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,B 级：有较多支持，但还有适用范围或不确定性。 可以关注，但不要过度理解。,2026-04-29
reader-健康寿命-time-restricted-eating,10,健康寿命,time-restricted-eating,限时进食与代谢健康,Time-Restricted Eating and Metabolic Health,B,中上,可作为代谢健康候选策略，但证据强度和适用人群仍不稳定。,先读结论边界，再看是否属于生活方式、医学治疗、补剂或医美场景。,糖尿病、孕期、进食障碍或用药人群不应自行尝试。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,B 级：有较多支持，但还有适用范围或不确定性。 可以关注，但不要过度理解。,2026-04-29
