date,source,query,result_count,new_candidates,included_count,notes
2026-04-28,PubMed,(cardiorespiratory fitness OR VO2max OR VO2 peak) AND (mortality OR cardiovascular mortality) AND (cohort OR meta-analysis OR systematic review),18,18,0,cardiorespiratory_fitness_mortality
2026-04-28,PubMed,(resistance training OR strength training OR muscle strengthening) AND (mortality OR frailty OR sarcopenia) AND (human OR trial OR cohort OR meta-analysis),18,18,0,resistance_training_mortality_sarcopenia
2026-04-28,PubMed,(physical activity OR exercise) AND (longevity OR lifespan OR mortality OR healthspan) AND (meta-analysis OR cohort OR randomized controlled trial),18,16,0,physical_activity_longevity
2026-04-28,PubMed,(blood pressure OR hypertension) AND (mortality OR cardiovascular disease) AND (older adults OR aging) AND (trial OR meta-analysis OR cohort),16,16,0,blood_pressure_mortality_aging
2026-04-28,PubMed,(LDL cholesterol OR apolipoprotein B OR apoB) AND (cardiovascular mortality OR all-cause mortality) AND (meta-analysis OR Mendelian randomization OR trial),16,16,0,ldl_apob_cardiovascular_mortality
2026-04-28,PubMed,(sleep duration OR sleep quality OR insomnia) AND (mortality OR healthy aging OR cognitive decline) AND (meta-analysis OR cohort),16,16,0,sleep_duration_mortality_aging
2026-04-28,PubMed,(Mediterranean diet OR healthy dietary pattern OR ultra-processed food) AND (mortality OR healthy aging OR longevity) AND (meta-analysis OR cohort OR trial),18,17,0,dietary_pattern_longevity
2026-04-28,PubMed,(caloric restriction OR calorie restriction OR dietary restriction) AND (aging OR biological aging OR healthspan) AND (human OR randomized controlled trial),18,15,0,caloric_restriction_human_aging
2026-04-28,PubMed,(intermittent fasting OR time-restricted eating OR time restricted feeding) AND (aging OR mortality OR metabolic health) AND (human OR randomized controlled trial OR meta-analysis),18,16,0,intermittent_fasting_aging_human
2026-04-28,PubMed,(semaglutide OR tirzepatide OR GLP-1 receptor agonist) AND (cardiovascular outcomes OR mortality OR obesity) AND (randomized controlled trial OR meta-analysis),16,15,0,glp1_obesity_cardiometabolic_outcomes
2026-04-28,PubMed,(metformin) AND (aging OR longevity OR lifespan OR healthspan OR TAME) AND (human OR trial OR cohort OR review),18,16,0,metformin_aging_longevity
