topic,A,B,C,D,E,total
血压与健康寿命,16,84,0,0,0,100
热量限制与人体衰老,0,59,29,12,0,100
心肺适能与死亡风险,25,71,4,0,0,100
饮食模式与死亡风险,59,41,0,0,0,100
表观遗传时钟,0,36,42,22,0,100
GLP-1、减重与心代谢结局,19,81,0,0,0,100
LDL-C/apoB 与心血管风险,10,89,1,0,0,100
身体活动与健康寿命,43,57,0,0,0,100
抗阻训练、肌肉与衰弱,30,70,0,0,0,100
睡眠与健康结局,24,76,0,0,0,100
限时进食与代谢健康,0,100,0,0,0,100
微生物组与炎症性衰老,0,38,16,23,0,77
Klotho / IL-11,0,0,37,31,0,68
自噬/线粒体自噬,0,0,20,33,0,53
二甲双胍与衰老,0,43,3,0,0,46
Senolytics 清除衰老细胞,0,0,20,26,0,46
雷帕霉素/mTOR 与衰老,0,0,19,25,0,44
NAD/NMN/NR,0,0,16,20,0,36
部分重编程,0,0,0,29,0,29
ITP 小鼠寿命干预,0,0,0,1,0,1
