编号,补剂,英文名,类别,健康证据,皮肤证据,一句话总结,常见误解,注意,专业评估,商业宣传风险,更新日期
S001,维生素 D,Vitamin D,vitamin,B：中等,D：很早期,缺乏或高风险人群的骨骼、跌倒和部分健康结局管理更有意义。,不支持健康人群普遍补充即可延寿或美容逆龄。,过量可导致高钙血症；检测和补充策略宜结合医生建议。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S002,维生素 C,Vitamin C,vitamin,C：有限,C：有限,主要看缺乏风险、饮食不足或外用皮肤抗氧化方向的证据线索。,不支持高剂量口服维C延寿或替代防晒。,高剂量可能增加胃肠不适和结石风险人群负担。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S003,Omega-3,Omega-3 Fatty Acids,fatty_acid,B：中等,C：有限,部分心血管、甘油三酯和炎症相关场景有证据基础。,不支持声称普通人补充即可延寿或全面抗炎抗老。,抗凝药、手术前和高剂量使用需医疗评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S004,胶原蛋白/胶原肽,Collagen Peptides,protein,D：很早期,C：有限,主要看皮肤水分、弹性和皱纹等外观终点的证据线索。,不支持声称补胶原能直接变成年轻皮肤或延寿。,注意过敏、蛋白来源和基础肾病人群。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S005,蛋白粉/必需氨基酸,Protein / Essential Amino Acids,protein,B：中等,D：很早期,主要看肌肉、衰弱和营养不足相关健康寿命终点。,不支持作为皮肤美容或延寿万能补剂。,肾病、肝病和特殊疾病人群需医生/营养师评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S006,肌酸,Creatine,sports_nutrition,B：中等,D：很早期,主要看力量、肌肉和老年功能相关证据线索。,不支持声称抗衰逆龄或皮肤美容明确有效。,肾病或多药人群需医疗评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S007,钙/镁,Calcium / Magnesium,mineral,B：中等,D：很早期,特定缺乏、骨骼或膳食不足场景可有意义。,不支持无差别补充来延寿或美容。,钙补充与肾结石、心血管风险讨论需个体化；镁也需注意肾功能。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S008,锌,Zinc,mineral,C：有限,C：有限,缺乏或特定皮肤炎症场景可看作证据线索。,不支持长期高剂量用于抗老或提升免疫。,长期过量可影响铜代谢和胃肠耐受。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S009,辅酶 Q10,Coenzyme Q10,mitochondrial,C：有限,D：很早期,可看作线粒体、心血管和疲劳相关证据线索。,不支持声称明确延寿或皮肤逆龄。,与抗凝药和慢病用药需注意相互作用。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S010,褪黑素,Melatonin,sleep,B：中等,D：很早期,主要看睡眠节律相关场景的证据线索。,不支持把它作为长期抗衰或美容补剂。,嗜睡、药物相互作用、孕期和儿童需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S011,益生菌,Probiotics,microbiome,C：有限,C：有限,部分肠道、炎症和皮肤屏障/炎症场景有证据线索。,不支持单一益生菌适用于所有人抗衰或美容。,免疫抑制、重症或中心静脉置管人群需医疗评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S012,NMN,NMN,nad_precursor,C：有限,D：很早期,可看作 NAD 代谢和人体早期指标研究候选。,不支持声称已证实延寿、逆龄或美容抗老。,长期安全性和适用人群仍不清楚。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S013,NR,Nicotinamide Riboside,nad_precursor,C：有限,D：很早期,可看作 NAD 前体和代谢指标研究候选。,不支持声称已证实延寿或外观逆龄。,长期净收益和特殊疾病人群安全性仍需复核。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S014,NAD 前体,NAD Precursors,nad_precursor,C：有限,D：很早期,可看作机制和早期人体研究集合。,不支持把 NAD 提升等同于延寿或抗老成功。,不同前体不能混为同一效果。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S015,白藜芦醇,Resveratrol,polyphenol,C：有限,C：有限,可看作多酚、代谢和皮肤光保护证据线索。,不支持红酒/白藜芦醇延寿或逆龄宣传。,药物相互作用和剂量差异大。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S016,槲皮素,Quercetin,polyphenol,D：很早期,D：很早期,可看作抗氧化、炎症和 senolytic 组合研究线索。,不支持单独作为抗衰、清除衰老细胞或美容方案。,与药物代谢相关相互作用需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S017,姜黄素,Curcumin,polyphenol,C：有限,D：很早期,可看作炎症和代谢相关证据线索。,不支持声称抗癌、延寿或皮肤逆龄。,胆道疾病、抗凝药和胃肠耐受需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S018,绿茶儿茶素,Green Tea Catechins,polyphenol,C：有限,C：有限,可看作代谢和皮肤光保护证据线索。,不支持高浓缩提取物无风险或明确延寿。,高剂量提取物有肝毒性报告，需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S019,虾青素,Astaxanthin,antioxidant,D：很早期,C：有限,可看作皮肤光保护和抗氧化证据线索。,不支持声称防晒替代、逆龄或延寿。,长期高剂量和特殊人群安全性仍需复核。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S020,透明质酸,Hyaluronic Acid,skin_hydration,D：很早期,B：中等,主要看皮肤水分和屏障相关证据线索。,不支持声称系统性抗衰或延寿。,注射类属于医疗美容，不纳入口服/外用普通补剂结论。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S021,神经酰胺,Ceramides,skin_barrier,D：很早期,B：中等,主要看干燥、屏障和 TEWL 相关皮肤终点。,不支持声称逆龄或治疗皮肤病。,皮肤病治疗需医生评估。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S022,烟酰胺,Niacinamide,vitamin_b3,C：有限,B：中等,主要看皮肤屏障、色素和炎症相关证据线索。,不支持把烟酰胺写成延寿或全面抗衰。,口服高剂量和肝病/慢病人群需谨慎。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
