topic_id,update_month,topic,total_evidence_items,a_count,b_count,ab_count,a_share_percent,ab_share_percent,items_per_a_evidence_proxy,evidence_yield_label,reader_note,last_checked
睡眠与健康结局,2026-08,睡眠与健康结局,100,24,76,100,24.0,100.0,4.2,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
抗阻训练、肌肉与衰弱,2026-08,抗阻训练、肌肉与衰弱,100,38,62,100,38.0,100.0,2.6,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
身体活动与健康寿命,2026-08,身体活动与健康寿命,100,42,58,100,42.0,100.0,2.4,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
LDL-C/apoB 与心血管风险,2026-08,LDL-C/apoB 与心血管风险,100,10,80,90,10.0,90.0,10.0,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
GLP-1、减重与心代谢结局,2026-08,GLP-1、减重与心代谢结局,100,16,84,100,16.0,100.0,6.2,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
饮食模式与死亡风险,2026-08,饮食模式与死亡风险,100,59,41,100,59.0,100.0,1.7,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
心肺适能与死亡风险,2026-08,心肺适能与死亡风险,100,24,71,95,24.0,95.0,4.2,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
血压与健康寿命,2026-08,血压与健康寿命,100,15,85,100,15.0,100.0,6.7,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
限时进食与代谢健康,2026-08,限时进食与代谢健康,100,0,100,100,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
微生物组与炎症性衰老,2026-08,微生物组与炎症性衰老,100,0,100,100,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
二甲双胍与衰老,2026-08,二甲双胍与衰老,100,0,100,100,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
Klotho / IL-11,2026-08,Klotho / IL-11,83,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
热量限制与人体衰老,2026-08,热量限制与人体衰老,79,0,59,59,0.0,74.7,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
表观遗传时钟,2026-08,表观遗传时钟,71,0,35,35,0.0,49.3,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
Senolytics 清除衰老细胞,2026-08,Senolytics 清除衰老细胞,57,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
NAD/NMN/NR,2026-08,NAD/NMN/NR,53,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
自噬/线粒体自噬,2026-08,自噬/线粒体自噬,29,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
雷帕霉素/mTOR 与衰老,2026-08,雷帕霉素/mTOR 与衰老,28,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-08-09
