paper_id,year,topic,intervention_or_exposure,study_type,species,sample_size,primary_endpoint,endpoint_class,effect_size,evidence_level,risk_of_bias,actionability,medical_supervision,recommendation_class,claim_supported,claim_not_supported,zh_summary,en_summary,last_checked,quality_confidence_score,influence_score,venue_tier,venue_score,venue_weight_note,journal_metric_value,confidence_cap_rule,scoring_version
pubmed-37632415,2023,心肺适能与死亡风险,fitness / VO2max,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「心肺适能与死亡风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：In iron-deficient patients with HF with reduced left ventricular ejection fraction, intravenous FCM was associated with significantly reduced risk of hospital admissions for HF and cardiovascular causes, with no apparent effect on mortality.","Draft status: automatically prepared; not fully reviewed; not medical advice. In iron-deficient patients with HF with reduced left ventricular ejection fraction, intravenous FCM was associated with significantly reduced risk of hospital admissions for HF and cardiovascular causes, with no apparent effect on mortality.",2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-36746187,2023,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：This review confirms that participation in exercise-based CR by patients with coronary heart disease receiving contemporary medical management reduces cardiovascular mortality, recurrent cardiac events, and hospitalizations and provides additional evidence supporting the improvement in HRQoL and the cost-effectiveness of CR.","Draft status: automatically prepared; not fully reviewed; not medical advice. This review confirms that participation in exercise-based CR by patients with coronary heart disease receiving contemporary medical management reduces cardiovascular mortality, recurrent cardiac events, and hospitalizations and provides additional evidence supporting the improvement in HRQoL and the cost-effectiveness of CR.",2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-35247352,2022,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Taking more steps per day was associated with a progressively lower risk of all-cause mortality, up to a level that varied by age. The findings from this meta-analysis can be used to inform step guidelines for public health promotion of physical activity.","Draft status: automatically prepared; not fully reviewed; not medical advice. Taking more steps per day was associated with a progressively lower risk of all-cause mortality, up to a level that varied by age. The findings from this meta-analysis can be used to inform step guidelines for public health promotion of physical activity.",2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-34114650,2021,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-30052878,2018,血压与健康寿命,blood pressure,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「血压与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Orthostatic hypotension indicates an increased risk of dementia and cognitive decline. SOH may also be considered a risk factor, at least in older hypertensive adults. Questions remain regarding the mechanisms and whether interventions to reduce impact of OH could protect cognition.","Draft status: automatically prepared; not fully reviewed; not medical advice. Orthostatic hypotension indicates an increased risk of dementia and cognitive decline. SOH may also be considered a risk factor, at least in older hypertensive adults. Questions remain regarding the mechanisms and whether interventions to reduce impact of OH could protect cognition.",2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-39492722,2025,LDL-C/apoB 与心血管风险,LDL-C / apoB,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「LDL-C/apoB 与心血管风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：These findings demonstrate the independent and additive nature of Lp(a) and LDL-C levels for ASCVD risk, and that LDL-C lowering does not fully offset Lp(a)-mediated risk.","Draft status: automatically prepared; not fully reviewed; not medical advice. These findings demonstrate the independent and additive nature of Lp(a) and LDL-C levels for ASCVD risk, and that LDL-C lowering does not fully offset Lp(a)-mediated risk.",2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-35285850,2022,LDL-C/apoB 与心血管风险,LDL-C / apoB,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「LDL-C/apoB 与心血管风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-29677301,2018,LDL-C/apoB 与心血管风险,LDL-C / apoB,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「LDL-C/apoB 与心血管风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-41039116,2025,睡眠与健康结局,sleep,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「睡眠与健康结局」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-40982264,2025,睡眠与健康结局,sleep,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「睡眠与健康结局」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
