target_id,update_month,name_zh,name_en,category,pubmed_total_count_20y,pubmed_retracted_count_20y,retractions_per_1000_publications,health_evidence,skin_evidence,best_evidence_grade,ab_evidence_surface_count,ab_evidence_surface_share_percent,publications_per_ab_surface_proxy,evidence_yield_score_0_100,evidence_yield_label,commercial_overclaim_risk,reader_note,last_checked
S001,2026-08,维生素 D,Vitamin D,vitamin,25261,48,1.9,B：中等,D：很早期,B,1,50.0,25261.0,36.3,热度部分转化：要分场景,中,20年发表 25261 篇；A/B 证据面 1/2；每1000篇撤稿 1.90。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S002,2026-08,维生素 C,Vitamin C,vitamin,2972,10,3.36,C：有限,C：有限,C,0,0.0,,23.0,高发表低证据：容易凑热闹,中,20年发表 2972 篇；A/B 证据面 0/2；每1000篇撤稿 3.36。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S003,2026-08,Omega-3,Omega-3 Fatty Acids,fatty_acid,10045,17,1.69,B：中等,C：有限,B,1,50.0,10045.0,40.0,热度部分转化：要分场景,中,20年发表 10045 篇；A/B 证据面 1/2；每1000篇撤稿 1.69。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S004,2026-08,胶原蛋白/胶原肽,Collagen Peptides,protein,339,0,0.0,D：很早期,C：有限,C,0,0.0,,31.5,小分母/早期且宣传风险高,高,20年发表 339 篇；A/B 证据面 0/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S005,2026-08,蛋白粉/必需氨基酸,Protein / Essential Amino Acids,protein,441,0,0.0,B：中等,D：很早期,B,1,50.0,441.0,60.3,小分母但有较强信号,中,20年发表 441 篇；A/B 证据面 1/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S006,2026-08,肌酸,Creatine,sports_nutrition,1602,0,0.0,B：中等,D：很早期,B,1,50.0,1602.0,49.9,热度部分转化：要分场景,中,20年发表 1602 篇；A/B 证据面 1/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S007,2026-08,钙/镁,Calcium / Magnesium,mineral,16080,28,1.74,B：中等,D：很早期,B,1,50.0,16080.0,38.0,热度部分转化：要分场景,中,20年发表 16080 篇；A/B 证据面 1/2；每1000篇撤稿 1.74。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S008,2026-08,锌,Zinc,mineral,10948,24,2.19,C：有限,C：有限,C,0,0.0,,19.8,高发表低证据：容易凑热闹,中,20年发表 10948 篇；A/B 证据面 0/2；每1000篇撤稿 2.19。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S009,2026-08,辅酶 Q10,Coenzyme Q10,mitochondrial,1378,5,3.63,C：有限,D：很早期,C,0,0.0,,25.5,高发表低证据：容易凑热闹,高,20年发表 1378 篇；A/B 证据面 0/2；每1000篇撤稿 3.63。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S010,2026-08,褪黑素,Melatonin,sleep,4095,30,7.33,B：中等,D：很早期,B,1,50.0,4095.0,44.3,热度部分转化：要分场景,中,20年发表 4095 篇；A/B 证据面 1/2；每1000篇撤稿 7.33。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S011,2026-08,益生菌,Probiotics,microbiome,18089,43,2.38,C：有限,C：有限,C,0,0.0,,18.8,高发表低证据：容易凑热闹,高,20年发表 18089 篇；A/B 证据面 0/2；每1000篇撤稿 2.38。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S012,2026-08,NMN,NMN,nad_precursor,257,0,0.0,C：有限,D：很早期,C,0,0.0,,33.0,小分母/早期且宣传风险高,高,20年发表 257 篇；A/B 证据面 0/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S013,2026-08,NR,Nicotinamide Riboside,nad_precursor,216,0,0.0,C：有限,D：很早期,C,0,0.0,,34.0,小分母/早期且宣传风险高,高,20年发表 216 篇；A/B 证据面 0/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S014,2026-08,NAD 前体,NAD Precursors,nad_precursor,470,0,0.0,C：有限,D：很早期,C,0,0.0,,29.8,小分母/早期且宣传风险高,高,20年发表 470 篇；A/B 证据面 0/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S015,2026-08,白藜芦醇,Resveratrol,polyphenol,1031,5,4.85,C：有限,C：有限,C,0,0.0,,26.5,高发表低证据：容易凑热闹,高,20年发表 1031 篇；A/B 证据面 0/2；每1000篇撤稿 4.85。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S016,2026-08,槲皮素,Quercetin,polyphenol,3485,17,4.88,D：很早期,D：很早期,D,0,0.0,,11.3,高发表低证据：容易凑热闹,高,20年发表 3485 篇；A/B 证据面 0/2；每1000篇撤稿 4.88。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S017,2026-08,姜黄素,Curcumin,polyphenol,5865,33,5.63,C：有限,D：很早期,C,0,0.0,,21.2,高发表低证据：容易凑热闹,高,20年发表 5865 篇；A/B 证据面 0/2；每1000篇撤稿 5.63。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S018,2026-08,绿茶儿茶素,Green Tea Catechins,polyphenol,1129,5,4.43,C：有限,C：有限,C,0,0.0,,26.2,高发表低证据：容易凑热闹,高,20年发表 1129 篇；A/B 证据面 0/2；每1000篇撤稿 4.43。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S019,2026-08,虾青素,Astaxanthin,antioxidant,1169,0,0.0,D：很早期,C：有限,C,0,0.0,,26.0,高发表低证据：容易凑热闹,高,20年发表 1169 篇；A/B 证据面 0/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S020,2026-08,透明质酸,Hyaluronic Acid,skin_hydration,1595,3,1.88,D：很早期,B：中等,B,1,50.0,1595.0,49.9,热度部分转化：要分场景,中,20年发表 1595 篇；A/B 证据面 1/2；每1000篇撤稿 1.88。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S021,2026-08,神经酰胺,Ceramides,skin_barrier,133,0,0.0,D：很早期,B：中等,B,1,50.0,133.0,74.2,小分母但有较强信号,中,20年发表 133 篇；A/B 证据面 1/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S022,2026-08,烟酰胺,Niacinamide,vitamin_b3,48,0,0.0,C：有限,B：中等,B,1,50.0,48.0,80.0,小分母但有较强信号,中,20年发表 48 篇；A/B 证据面 1/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S023,2026-08,维生素 B12,Vitamin B12,vitamin,3048,2,0.66,B：中等,D：很早期,B,1,50.0,3048.0,45.9,热度部分转化：要分场景,中,20年发表 3048 篇；A/B 证据面 1/2；每1000篇撤稿 0.66。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S024,2026-08,叶酸,Folate,vitamin,3792,3,0.79,B：中等,D：很早期,B,1,50.0,3792.0,44.7,热度部分转化：要分场景,中,20年发表 3792 篇；A/B 证据面 1/2；每1000篇撤稿 0.79。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S025,2026-08,复合维生素,Multivitamin,multi_nutrient,485,1,2.06,C：有限,D：很早期,C,0,0.0,,29.7,小分母/早期且宣传风险高,高,20年发表 485 篇；A/B 证据面 0/2；每1000篇撤稿 2.06。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S026,2026-08,维生素 E,Vitamin E,vitamin,2914,5,1.72,C：有限,C：有限,C,0,0.0,,23.1,高发表低证据：容易凑热闹,高,20年发表 2914 篇；A/B 证据面 0/2；每1000篇撤稿 1.72。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S027,2026-08,维生素 A,Vitamin A,vitamin,2842,5,1.76,C：有限,C：有限,C,0,0.0,,23.2,高发表低证据：容易凑热闹,高,20年发表 2842 篇；A/B 证据面 0/2；每1000篇撤稿 1.76。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S028,2026-08,维生素 K2,Vitamin K2,vitamin,306,3,9.8,C：有限,D：很早期,C,0,0.0,,32.0,小分母/早期且宣传风险高,高,20年发表 306 篇；A/B 证据面 0/2；每1000篇撤稿 9.80。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S029,2026-08,硒,Selenium,mineral,7317,6,0.82,C：有限,D：很早期,C,0,0.0,,20.7,高发表低证据：容易凑热闹,高,20年发表 7317 篇；A/B 证据面 0/2；每1000篇撤稿 0.82。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S030,2026-08,碘,Iodine,mineral,4785,5,1.04,B：中等,D：很早期,B,1,50.0,4785.0,43.5,热度部分转化：要分场景,中,20年发表 4785 篇；A/B 证据面 1/2；每1000篇撤稿 1.04。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S031,2026-08,铁,Iron,mineral,21603,39,1.81,B：中等,D：很早期,B,1,50.0,21603.0,36.9,热度部分转化：要分场景,中,20年发表 21603 篇；A/B 证据面 1/2；每1000篇撤稿 1.81。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S032,2026-08,铜,Copper,mineral,5576,18,3.23,C：有限,D：很早期,C,0,0.0,,21.3,高发表低证据：容易凑热闹,中,20年发表 5576 篇；A/B 证据面 0/2；每1000篇撤稿 3.23。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S033,2026-08,锰,Manganese,mineral,1948,2,1.03,D：很早期,D：很早期,D,0,0.0,,12.2,高发表低证据：容易凑热闹,中,20年发表 1948 篇；A/B 证据面 0/2；每1000篇撤稿 1.03。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S034,2026-08,铬,Chromium,mineral,1783,8,4.49,C：有限,D：很早期,C,0,0.0,,24.6,高发表低证据：容易凑热闹,高,20年发表 1783 篇；A/B 证据面 0/2；每1000篇撤稿 4.49。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S035,2026-08,钾,Potassium,mineral,3913,6,1.53,B：中等,D：很早期,B,1,50.0,3913.0,44.5,热度部分转化：要分场景,中,20年发表 3913 篇；A/B 证据面 1/2；每1000篇撤稿 1.53。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S036,2026-08,电解质,Electrolytes,mineral_mix,226,0,0.0,C：有限,D：很早期,C,0,0.0,,33.7,小分母早期线索,中,20年发表 226 篇；A/B 证据面 0/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
