finding_id,candidate_id,pmid,doi,title_en,topic_id,study_type,species,previous_level,decision,reason,retired_date,recovery_source
finding-pubmed-23812094,pubmed-23812094,23812094,10.1038/ijo.2013.120,Weight maintenance and additional weight loss with liraglutide after low-calorie-diet-induced weight loss: the SCALE Maintenance randomized study.,glp1-weight-cardiometabolic,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_capacity_limit,2026-08-28,Git history and prior public-data snapshots
finding-pubmed-26148926,pubmed-26148926,26148926,10.1017/S0007114514003936,The role of olive oil in disease prevention: a focus on the recent epidemiological evidence from cohort studies and dietary intervention trials.,dietary-pattern-longevity,narrative_review,human,C,retired_from_active_findings,topic_capacity_limit,2026-08-28,Git history and prior public-data snapshots
finding-pubmed-31565954,pubmed-31565954,31565954,10.1089/AID.2019.0136,Strengths and Limitations of the Veterans Aging Cohort Study Index as a Measure of Physiologic Frailty.,resistance-training-muscle,narrative_review,human,C,retired_from_active_findings,topic_capacity_limit,2026-08-28,Git history and prior public-data snapshots
finding-pubmed-31974513,pubmed-31974513,31974513,10.1038/s41598-020-57798-x,Impact of the early-life skin microbiota on the development of canine atopic dermatitis in a high-risk breed birth cohort.,microbiome-inflammaging,animal_study,animal,D,retired_from_active_findings,topic_capacity_limit,2026-08-28,Git history and prior public-data snapshots
finding-pubmed-34252094,pubmed-34252094,34252094,10.1371/journal.pone.0253976,Trajectories of frailty in aging: Prospective cohort study.,resistance-training-muscle,human_cohort,human,B,retired_from_active_findings,topic_capacity_limit,2026-08-28,Git history and prior public-data snapshots
finding-pubmed-34464599,pubmed-34464599,34464599,10.1016/j.amjmed.2021.07.012,"Cognitive Function, Sarcopenia, and Inflammation Are Strongly Associated with Frailty: A Framingham Cohort Study.",resistance-training-muscle,human_cohort,human,B,retired_from_active_findings,topic_capacity_limit,2026-08-28,Git history and prior public-data snapshots
finding-pubmed-34816568,pubmed-34816568,34816568,10.1111/ggi.14314,Common and different characteristics among combinations of physical frailty and sarcopenia in community-dwelling older adults: The Korean Frailty and Aging Cohort Study.,resistance-training-muscle,human_cohort,human,B,retired_from_active_findings,topic_capacity_limit,2026-08-28,Git history and prior public-data snapshots
finding-pubmed-34873876,pubmed-34873876,34873876,10.1002/jcsm.12870,Associations of osteoporosis and sarcopenia with frailty and multimorbidity among participants of the Hertfordshire Cohort Study.,resistance-training-muscle,human_cohort,human,B,retired_from_active_findings,topic_capacity_limit,2026-08-28,Git history and prior public-data snapshots
finding-pubmed-35093884,pubmed-35093884,35093884,10.21873/anticanres.15544,Enhancement of Radiation Response Associated With Metformin in Hepatocellular Carcinoma: Preclinical Animal and Clinical Cohort Study.,metformin-aging,mixed_human_and_animal_study,mixed_human_animal,D,retired_from_active_findings,topic_capacity_limit,2026-08-28,Git history and prior public-data snapshots
finding-pubmed-35289199,pubmed-35289199,35289199,10.1177/08968608221077462,"Comparison of frailty, sarcopenia and protein energy wasting in a contemporary peritoneal dialysis cohort.",resistance-training-muscle,human_cohort,human,B,retired_from_active_findings,topic_capacity_limit,2026-08-28,Git history and prior public-data snapshots
