candidate_id,source,pmid,doi,title_en,topic_id,previous_query,previous_status,decision,reason,duplicate_of,retired_date,recovery_source
pubmed-10163422,PubMed,10163422,10.2165/00019053-199600101-00003,The socioeconomic impact of insomnia. An overview.,sleep-aging,sleep-aging__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-11291019,PubMed,11291019,10.1053/scnp.2000.9556,Sleep in neuropsychiatric disorders.,sleep-aging,sleep-aging__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-25347243,PubMed,25347243,,[Relapse and insomnia in unipolar major depression].,sleep-aging,sleep-aging__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-26954412,PubMed,26954412,10.1001/jama.2016.0299,Polypharmacy in the Aging Patient: A Review of Glycemic Control in Older Adults With Type 2 Diabetes.,metformin-aging,metformin-aging__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-27029547,PubMed,27029547,10.1136/bmj.i1450,"Diabetes treatments and risk of amputation, blindness, severe kidney failure, hyperglycaemia, and hypoglycaemia: open cohort study in primary care.",metformin-aging,metformin-aging__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-27518560,PubMed,27518560,10.1016/j.cell.2016.07.031,Metabolic Control of Longevity.,metformin-aging,metformin-aging__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-27535968,PubMed,27535968,10.1093/gerona/glw149,Strategies and Challenges in Clinical Trials Targeting Human Aging.,metformin-aging,metformin-aging__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-27582156,PubMed,27582156,,Sleep disorders in Pregnancy: Glycaemic implications.,sleep-aging,sleep-aging__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-27789842,PubMed,27789842,10.1126/science.aaf6659,Senescent intimal foam cells are deleterious at all stages of atherosclerosis.,senolytics,senolytics__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-27797960,PubMed,27797960,10.1126/scitranslmed.aaf9440,Senescence-associated secretory phenotype contributes to pathological angiogenesis in retinopathy.,metformin-aging,metformin-aging__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-28665427,PubMed,28665427,10.1039/c7fo00161d,Effects of bioactive compounds on senescence and components of senescence associated secretory phenotypes in vitro.,senolytics,senolytics__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-28688962,PubMed,28688962,10.1016/j.mad.2017.07.001,"Stress, cell senescence and organismal ageing.",senolytics,senolytics__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-28957964,PubMed,28957964,10.1097/BOR.0000000000000456,Targeting aging for disease modification in osteoarthritis.,senolytics,senolytics__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-29358245,PubMed,29358245,,Deprescribing antipsychotics for behavioural and psychological symptoms of dementia and insomnia: Evidence-based clinical practice guideline.,sleep-aging,sleep-aging__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-30111642,PubMed,30111642,10.1126/scitranslmed.aan1230,TGFβ inhibition restores a regenerative response in acute liver injury by suppressing paracrine senescence.,senolytics,senolytics__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-30232451,PubMed,30232451,10.1038/s41586-018-0543-y,Clearance of senescent glial cells prevents tau-dependent pathology and cognitive decline.,senolytics,senolytics__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-30469478,PubMed,30469478,10.3390/ijms19123701,Inflammation-Accelerated Senescence and the Cardiovascular System: Mechanisms and Perspectives.,senolytics,senolytics__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-30587027,PubMed,30587027,10.1556/2060.105.2018.4.32,Advances and challenges in geroscience research: An update.,senolytics,senolytics__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-31776125,PubMed,31776125,10.1136/bmj.l6204,Associations of dairy intake with risk of mortality in women and men: three prospective cohort studies.,dietary-pattern-longevity,dietary-pattern-longevity__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-31786723,PubMed,31786723,10.1007/s11938-019-00246-1,Beyond the Calories-Is the Problem in the Processing?,dietary-pattern-longevity,dietary-pattern-longevity__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-31856971,PubMed,31856971,10.1016/j.jacc.2019.09.068,Chili Pepper Consumption and Mortality in Italian Adults.,dietary-pattern-longevity,dietary-pattern-longevity__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-31856972,PubMed,31856972,10.1016/j.jacc.2019.08.1071,Chili Pepper Consumption and Cardiovascular Mortality.,dietary-pattern-longevity,dietary-pattern-longevity__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-31895244,PubMed,31895244,10.1097/MCO.0000000000000625,"Veganism, aging and longevity: new insight into old concepts.",dietary-pattern-longevity,dietary-pattern-longevity__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-32483059,PubMed,32483059,10.1519/JSC.0000000000003560,Effects of 4 Weeks of Active Exergames Training on Muscular Fitness in Elderly Women.,physical-activity-healthspan,physical-activity-healthspan__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-34076602,PubMed,34076602,10.2459/JCM.0000000000001146,The impact of periprocedural myocardial infarction on mortality in older adults with non-ST-segment elevation acute coronary syndrome: a pooled analysis of the FRASER and HULK studies.,physical-activity-healthspan,physical-activity-healthspan__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-34114650,PubMed,34114650,10.1002/14651858.CD013156.pub2,Lifestyle modifications for nonalcohol-related fatty liver disease: a network meta-analysis.,physical-activity-healthspan,physical-activity-healthspan__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-34334715,PubMed,34334715,10.1249/MSS.0000000000002768,Personal Activity Intelligence e-Health Program in People with Type 2 Diabetes: A Pilot Randomized Controlled Trial.,physical-activity-healthspan,physical-activity-healthspan__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-34499338,PubMed,34499338,10.1007/s40279-021-01542-6,The Effect of Resistance Training on Body Composition During and After Cancer Treatment: A Systematic Review and Meta-Analysis.,physical-activity-healthspan,physical-activity-healthspan__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-34510020,PubMed,34510020,10.1123/japa.2021-0130,A Randomized Controlled Feasibility Trial Evaluating a Resistance Training Intervention With Frail Older Adults in Residential Care: The Keeping Active in Residential Elderly Trial.,physical-activity-healthspan,physical-activity-healthspan__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-35150086,PubMed,35150086,10.1002/jcsm.12925,"Effects of Vivifrail multicomponent intervention on functional capacity: a multicentre, randomized controlled trial.",physical-activity-healthspan,physical-activity-healthspan__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-35191588,PubMed,35191588,10.1111/obr.13428,Resistance training effectiveness on body composition and body weight outcomes in individuals with overweight and obesity across the lifespan: A systematic review and meta-analysis.,physical-activity-healthspan,physical-activity-healthspan__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-3544995,PubMed,3544995,10.7326/0003-4819-106-3-434,Sleep disorders: sleep apnea and narcolepsy.,sleep-aging,sleep-aging__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
pubmed-36103298,PubMed,36103298,10.1111/acel.13709,Aging and cancer epigenetics: Where do the paths fork?,epigenetic-clocks,epigenetic-clocks__high_weight_journal,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-08-28,Git history and prior public-data snapshots
