claim_id,domain,topic_id,title_zh,claim_type,claim_zh,claim_en,public_grade,endpoint_scope,evidence_basis_zh,downgrade_or_cap_reasons_zh,does_not_mean_zh,medical_supervision_needed,status,last_checked
claim-healthspan-cardiorespiratory-fitness-supported-01,healthspan,cardiorespiratory-fitness,心肺适能与死亡风险,supported_public_claim,较高心肺适能与较低全因和心血管死亡风险稳定相关，是健康寿命图谱中的高优先级基础指标。,Higher cardiorespiratory fitness is consistently associated with lower all-cause and cardiovascular mortality risk.,A,全因死亡、心血管死亡、功能能力。,有较强人体证据、较重要终点和/或领域共识支持；仍需保留草稿与非医疗建议标注。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,不能把总体关联直接写成任何个体都适合高强度训练；运动处方需考虑疾病、年龄和风险。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-cardiorespiratory-fitness-boundary-01,healthspan,cardiorespiratory-fitness,心肺适能与死亡风险,unsupported_or_overstated_claim,不能把总体关联直接写成任何个体都适合高强度训练；运动处方需考虑疾病、年龄和风险。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-healthspan-physical-activity-healthspan-supported-01,healthspan,physical-activity-healthspan,身体活动与健康寿命,supported_public_claim,规律身体活动与较低死亡和多种慢病风险相关，是健康寿命的基础证据方向。,Regular physical activity is linked to lower mortality and chronic disease risk.,A,死亡、心血管疾病、糖尿病、功能、衰弱。,有较强人体证据、较重要终点和/或领域共识支持；仍需保留草稿与非医疗建议标注。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,不能把它写成单一万能运动处方，也不能忽略伤病和基础疾病。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-physical-activity-healthspan-boundary-01,healthspan,physical-activity-healthspan,身体活动与健康寿命,unsupported_or_overstated_claim,不能把它写成单一万能运动处方，也不能忽略伤病和基础疾病。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-healthspan-resistance-training-muscle-supported-01,healthspan,resistance-training-muscle,抗阻训练、肌肉与衰弱,supported_public_claim,抗阻训练对肌力、功能和衰弱风险管理有较强证据基础。,"Resistance training has strong evidence for improving strength, function, and frailty-related outcomes.",A,力量、肌肉量、身体功能、跌倒、衰弱。,有较强人体证据、较重要终点和/或领域共识支持；仍需保留草稿与非医疗建议标注。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,不能保证每个人增肌或逆转衰弱；高龄、骨质疏松和慢病人群需评估。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-resistance-training-muscle-boundary-01,healthspan,resistance-training-muscle,抗阻训练、肌肉与衰弱,unsupported_or_overstated_claim,不能保证每个人增肌或逆转衰弱；高龄、骨质疏松和慢病人群需评估。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-healthspan-blood-pressure-aging-supported-01,healthspan,blood-pressure-aging,血压与健康寿命,supported_public_claim,血压控制与心脑血管和肾脏硬终点风险降低高度相关，是医学管理型 A 级主题。,Blood pressure control is strongly linked to lower vascular and renal hard-outcome risk.,A,卒中、心血管事件、肾脏结局、死亡。,有较强人体证据、较重要终点和/或领域共识支持；仍需保留草稿与非医疗建议标注。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,不能在图谱中给个人药物选择或剂量；治疗目标需医生决定。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-blood-pressure-aging-boundary-01,healthspan,blood-pressure-aging,血压与健康寿命,unsupported_or_overstated_claim,不能在图谱中给个人药物选择或剂量；治疗目标需医生决定。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-healthspan-ldl-apob-cardiovascular-risk-supported-01,healthspan,ldl-apob-cardiovascular-risk,LDL-C/apoB 与心血管风险,supported_public_claim,LDL-C/apoB 与动脉粥样硬化性心血管风险有强因果和干预证据。,LDL-C/apoB has strong causal and interventional evidence for ASCVD risk.,A,ASCVD 事件、心梗、卒中、心血管死亡。,有较强人体证据、较重要终点和/或领域共识支持；仍需保留草稿与非医疗建议标注。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,不能替代个体化风险分层和处方；过低/过高治疗强度都需医生判断。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-ldl-apob-cardiovascular-risk-boundary-01,healthspan,ldl-apob-cardiovascular-risk,LDL-C/apoB 与心血管风险,unsupported_or_overstated_claim,不能替代个体化风险分层和处方；过低/过高治疗强度都需医生判断。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
