card_id,update_month,name_zh,name_en,category,health_evidence,skin_evidence,commercial_overclaim_risk,one_sentence,common_misunderstanding,attention,retraction_note,local_path
S001,2026-07,维生素 D,Vitamin D,vitamin,B：中等,D：很早期,中,缺乏或高风险人群的骨骼、跌倒和部分健康结局管理更有意义。,不支持健康人群普遍补充即可延寿或美容逆龄。,过量可导致高钙血症；检测和补充策略宜结合医生建议。,同一口径下总发表 25261 篇；每 1000 篇约 1.90 篇撤稿。,build/visual-assets/ingredient-cards/S001-维生素-D.png
S002,2026-07,维生素 C,Vitamin C,vitamin,C：有限,C：有限,中,主要看缺乏风险、饮食不足或外用皮肤抗氧化方向的证据线索。,不支持高剂量口服维C延寿或替代防晒。,高剂量可能增加胃肠不适和结石风险人群负担。,同一口径下总发表 2972 篇；每 1000 篇约 3.36 篇撤稿。,build/visual-assets/ingredient-cards/S002-维生素-C.png
S003,2026-07,Omega-3,Omega-3 Fatty Acids,fatty_acid,B：中等,C：有限,中,部分心血管、甘油三酯和炎症相关场景有证据基础。,不支持声称普通人补充即可延寿或全面抗炎抗老。,抗凝药、手术前和高剂量使用需医疗评估。,同一口径下总发表 10045 篇；每 1000 篇约 1.69 篇撤稿。,build/visual-assets/ingredient-cards/S003-Omega-3.png
S004,2026-07,胶原蛋白/胶原肽,Collagen Peptides,protein,D：很早期,C：有限,高,主要看皮肤水分、弹性和皱纹等外观终点的证据线索。,不支持声称补胶原能直接变成年轻皮肤或延寿。,注意过敏、蛋白来源和基础肾病人群。,同一口径下总发表 339 篇；每 1000 篇约 0.00 篇撤稿。,build/visual-assets/ingredient-cards/S004-胶原蛋白-胶原肽.png
S005,2026-07,蛋白粉/必需氨基酸,Protein / Essential Amino Acids,protein,B：中等,D：很早期,中,主要看肌肉、衰弱和营养不足相关健康寿命终点。,不支持作为皮肤美容或延寿万能补剂。,肾病、肝病和特殊疾病人群需医生/营养师评估。,同一口径下总发表 441 篇；每 1000 篇约 0.00 篇撤稿。,build/visual-assets/ingredient-cards/S005-蛋白粉-必需氨基酸.png
S006,2026-07,肌酸,Creatine,sports_nutrition,B：中等,D：很早期,中,主要看力量、肌肉和老年功能相关证据线索。,不支持声称抗衰逆龄或皮肤美容明确有效。,肾病或多药人群需医疗评估。,同一口径下总发表 1602 篇；每 1000 篇约 0.00 篇撤稿。,build/visual-assets/ingredient-cards/S006-肌酸.png
S007,2026-07,钙/镁,Calcium / Magnesium,mineral,B：中等,D：很早期,中,特定缺乏、骨骼或膳食不足场景可有意义。,不支持无差别补充来延寿或美容。,钙补充与肾结石、心血管风险讨论需个体化；镁也需注意肾功能。,同一口径下总发表 16080 篇；每 1000 篇约 1.74 篇撤稿。,build/visual-assets/ingredient-cards/S007-钙-镁.png
S008,2026-07,锌,Zinc,mineral,C：有限,C：有限,中,缺乏或特定皮肤炎症场景可看作证据线索。,不支持长期高剂量用于抗老或提升免疫。,长期过量可影响铜代谢和胃肠耐受。,同一口径下总发表 10948 篇；每 1000 篇约 2.19 篇撤稿。,build/visual-assets/ingredient-cards/S008-锌.png
S009,2026-07,辅酶 Q10,Coenzyme Q10,mitochondrial,C：有限,D：很早期,高,可看作线粒体、心血管和疲劳相关证据线索。,不支持声称明确延寿或皮肤逆龄。,与抗凝药和慢病用药需注意相互作用。,同一口径下总发表 1378 篇；每 1000 篇约 3.63 篇撤稿。,build/visual-assets/ingredient-cards/S009-辅酶-Q10.png
S010,2026-07,褪黑素,Melatonin,sleep,B：中等,D：很早期,中,主要看睡眠节律相关场景的证据线索。,不支持把它作为长期抗衰或美容补剂。,嗜睡、药物相互作用、孕期和儿童需谨慎。,同一口径下总发表 4095 篇；每 1000 篇约 7.33 篇撤稿。,build/visual-assets/ingredient-cards/S010-褪黑素.png
S011,2026-07,益生菌,Probiotics,microbiome,C：有限,C：有限,高,部分肠道、炎症和皮肤屏障/炎症场景有证据线索。,不支持单一益生菌适用于所有人抗衰或美容。,免疫抑制、重症或中心静脉置管人群需医疗评估。,同一口径下总发表 18089 篇；每 1000 篇约 2.38 篇撤稿。,build/visual-assets/ingredient-cards/S011-益生菌.png
S012,2026-07,NMN,NMN,nad_precursor,C：有限,D：很早期,高,可看作 NAD 代谢和人体早期指标研究候选。,不支持声称已证实延寿、逆龄或美容抗老。,长期安全性和适用人群仍不清楚。,同一口径下总发表 257 篇；每 1000 篇约 0.00 篇撤稿。,build/visual-assets/ingredient-cards/S012-NMN.png
