explanation_id,domain,topic_id,title_zh,title_en,public_level,why_this_level_zh,why_not_medical_advice_zh,core_review_required,status,last_checked
explain-healthspan-cardiorespiratory-fitness,healthspan,cardiorespiratory-fitness,心肺适能与死亡风险,Cardiorespiratory Fitness and Mortality,A,A 级表示该主题存在较强的人体研究、较重要终点和可转化结论，但仍需逐条人工复核核心文献。,不能把总体关联直接写成任何个体都适合高强度训练；运动处方需考虑疾病、年龄和风险。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,true,public_draft_needs_manual_review,2026-07-29
explain-healthspan-physical-activity-healthspan,healthspan,physical-activity-healthspan,身体活动与健康寿命,Physical Activity and Healthspan,A,A 级表示该主题存在较强的人体研究、较重要终点和可转化结论，但仍需逐条人工复核核心文献。,不能把它写成单一万能运动处方，也不能忽略伤病和基础疾病。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,true,public_draft_needs_manual_review,2026-07-29
explain-healthspan-resistance-training-muscle,healthspan,resistance-training-muscle,抗阻训练、肌肉与衰弱,"Resistance Training, Muscle, and Frailty",A,A 级表示该主题存在较强的人体研究、较重要终点和可转化结论，但仍需逐条人工复核核心文献。,不能保证每个人增肌或逆转衰弱；高龄、骨质疏松和慢病人群需评估。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,true,public_draft_needs_manual_review,2026-07-29
explain-healthspan-blood-pressure-aging,healthspan,blood-pressure-aging,血压与健康寿命,Blood Pressure and Healthspan,A,A 级表示该主题存在较强的人体研究、较重要终点和可转化结论，但仍需逐条人工复核核心文献。,不能在图谱中给个人药物选择或剂量；治疗目标需医生决定。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,true,public_draft_needs_manual_review,2026-07-29
explain-healthspan-ldl-apob-cardiovascular-risk,healthspan,ldl-apob-cardiovascular-risk,LDL-C/apoB 与心血管风险,LDL-C/apoB and Cardiovascular Risk,A,A 级表示该主题存在较强的人体研究、较重要终点和可转化结论，但仍需逐条人工复核核心文献。,不能替代个体化风险分层和处方；过低/过高治疗强度都需医生判断。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,true,public_draft_needs_manual_review,2026-07-29
explain-healthspan-dietary-pattern-longevity,healthspan,dietary-pattern-longevity,饮食模式与死亡风险,Dietary Patterns and Mortality,A,A 级表示该主题存在较强的人体研究、较重要终点和可转化结论，但仍需逐条人工复核核心文献。,不能神化单一食物、超级食物或补剂，也不能给出个人治疗饮食。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,true,public_draft_needs_manual_review,2026-07-29
explain-healthspan-sleep-aging,healthspan,sleep-aging,睡眠与健康结局,Sleep and Aging Outcomes,A,A 级表示该主题存在较强的人体研究、较重要终点和可转化结论，但仍需逐条人工复核核心文献。,不能把睡眠关联直接写成某种补剂或单一技巧能延寿。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,true,public_draft_needs_manual_review,2026-07-29
explain-healthspan-glp1-weight-cardiometabolic,healthspan,glp1-weight-cardiometabolic,GLP-1、减重与心代谢结局,"GLP-1, Weight Loss, and Cardiometabolic Outcomes",A,A 级表示该主题存在较强的人体研究、较重要终点和可转化结论，但仍需逐条人工复核核心文献。,这是处方药医学主题，不能被包装成普通抗衰或美容减肥建议。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,true,public_draft_needs_manual_review,2026-07-29
explain-healthspan-caloric-restriction-human,healthspan,caloric-restriction-human,热量限制与人体衰老,Caloric Restriction in Humans,B,B 级表示方向有较好人体或系统证据，但硬终点、直接因果、异质性或适用范围仍有限。,不能鼓励极端节食；孕期、进食障碍、慢病和高龄人群需谨慎。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,true,public_draft_needs_manual_review,2026-07-29
explain-healthspan-time-restricted-eating,healthspan,time-restricted-eating,限时进食与代谢健康,Time-Restricted Eating and Metabolic Health,B,B 级表示方向有较好人体或系统证据，但硬终点、直接因果、异质性或适用范围仍有限。,糖尿病用药、孕期、进食障碍和低体重人群不应自行尝试。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,true,public_draft_needs_manual_review,2026-07-29
