finding_id,candidate_id,pmid,doi,source,topic_id,topic_zh,topic_en,title_en,title_zh,year,journal,study_type_draft,intervention_type,endpoint_class,skin_endpoint,result_en,result_zh,conclusion_en,conclusion_zh,evidence_level_draft,evidence_source_depth,supported_claim_zh,unsupported_claim_zh,safety_notes_zh,medical_supervision_needed,commercial_overclaim_risk,status,last_checked,url,scoring_version,design_score,endpoint_value_score,human_relevance_score,source_depth_score,authority_signal_score,risk_adjustment_score,quality_confidence_score,influence_score,journal_metric_source,journal_metric_value,journal_metric_note,openalex_work_id,openalex_cited_by_count,icite_rcr,risk_of_bias_tool,risk_of_bias_rating,amstar2_rating,funding_conflict_risk,industry_funding_risk,confidence_cap_rule,final_evidence_level,scoring_note_zh,scoring_note_en,venue_tier,venue_score,venue_weight_note
skin-sunscreen-photoaging-prevention-001,pubmed-34387824,34387824,10.1111/phpp.12297,PubMed,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,Sunscreens and Photoaging: A Review of Current Literature.,,2021,American journal of clinical dermatology,review,lifestyle_topical,S1,"pigmentation, photoaging, erythema","Sunscreens have been on the market for many decades as a means of protection against ultraviolet-induced erythema. Over the years, evidence has also shown their efficacy in the prevention of photoaging, dyspigmentation, DNA damage, and photocarcinogenesis. In the USA, most broad-spectrum sunscreens provide protection against ultraviolet B (UVB) radiation and short-wavelength ultraviolet A (UVA) radiation. Evidence suggests that visible light and infrared light may play a role in photoaging and should be considered when choosing a sunscreen. Currently, there is a paucity of US FDA-approved filters that provide protection against long UVA (> 370 nm) and none against visible light. Additionally, various sunscreen additives such as antioxidants and photolyases have also been reported to protect against and possibly reverse signs of photoaging. This literature review evaluates the utility of ","中文草稿：该记录属于「防晒与光老化预防」主题，当前抽取到的英文摘要/题录结果为：Sunscreens have been on the market for many decades as a means of protection against ultraviolet-induced erythema. Over the years, evidence has also shown their efficacy in the prevention of photoaging, dyspigmentation, DNA damage, and photocarcinogenesis. In the USA, most broad-spectrum sunscreens provide protection against ultraviolet B (UVB) radiation and short-wavelength ultraviolet A (UVA) radiation. Evidence su",Draft conclusion: this record can inform Sunscreen and Photoaging Prevention but requires full-text review before public claims.,中文草稿结论：该记录可作为「防晒与光老化预防」的候选证据，但正式结论需要全文复核。,C,abstract_plus_open_pmc_available,可支持：将该记录作为「防晒与光老化预防」的候选证据，并按 S1 皮肤终点继续复核。,不支持：不能据此声称逆龄、延寿、替代治疗，或给出产品/剂量/疗程建议。,支持长期防晒作为皮肤健康基础；不支持把防晒写成逆龄治疗。,false,medium,public_draft_not_fully_reviewed,2026-04-28,https://pubmed.ncbi.nlm.nih.gov/34387824/,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue,14,15,9,10,6,-3,52,8,NIH_iCite_RCR; OpenAlex_cited_by_count,RCR=NA; cited_by=19,JCR IF not auto-imported; journal-level IF is intentionally separated from article-level citation signals.,https://openalex.org/W2584085866,19,,domain_screen,not_assessed_public_draft,not_applicable,possible,possible,max_level_A,C,v0.5 综合评分：研究设计、终点价值、人类相关性、来源深度、RCR/OpenAlex 引用信号、发表地/期刊层级和风险扣分；期刊层级 C_indexed_or_identified 加 1 分；当前上限规则为 max_level_A，最终等级 C。,"v0.5 hybrid score using design, endpoint value, human relevance, source depth, RCR/OpenAlex signals, publication venue tier, and risk adjustments; venue tier C_indexed_or_identified adds 1; cap rule max_level_A; final level C.",C_indexed_or_identified,1,"Indexed or DOI/PMID-identifiable venue, but not in the curated high-weight venue list."
skin-sunscreen-photoaging-prevention-002,pubmed-30731327,30731327,10.1016/j.coph.2018.12.006,PubMed,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,Modern sun protection.,,2019,Current opinion in pharmacology,review,lifestyle_topical,S1,photoaging,"So far sun protection meant ultraviolet (UV) protection. But there is preliminary data that beside UV radiation also visible light (VIS) and near infrared A (IRA) radiation may have harmful effects on our skin resulting in photoaging and even cancer induction. Therefore, some authors claim that modern sun protection should also include shielding against longer wavelengths such as VIS and IRA. Therefore, avoidance of sun exposure at peak times and textile sun protection are important pillars of a modern prophylactic approach. Besides, antioxidants and DNA repair enzymes may be added to topical sunscreens in order to enhance the protection before and even after sun exposure. Furthermore, there are reports raising the question about a negative impact of specific UV filters on our environment causing among other things coral bleaching. There is need for more studies elucidating the benefit o","中文草稿：该记录属于「防晒与光老化预防」主题，当前抽取到的英文摘要/题录结果为：So far sun protection meant ultraviolet (UV) protection. But there is preliminary data that beside UV radiation also visible light (VIS) and near infrared A (IRA) radiation may have harmful effects on our skin resulting in photoaging and even cancer induction. Therefore, some authors claim that modern sun protection should also include shielding against longer wavelengths such as VIS and IRA. Therefore, avoidance of ",Draft conclusion: this record can inform Sunscreen and Photoaging Prevention but requires full-text review before public claims.,中文草稿结论：该记录可作为「防晒与光老化预防」的候选证据，但正式结论需要全文复核。,C,abstract_only,可支持：将该记录作为「防晒与光老化预防」的候选证据，并按 S1 皮肤终点继续复核。,不支持：不能据此声称逆龄、延寿、替代治疗，或给出产品/剂量/疗程建议。,支持长期防晒作为皮肤健康基础；不支持把防晒写成逆龄治疗。,false,medium,public_draft_not_fully_reviewed,2026-04-28,https://pubmed.ncbi.nlm.nih.gov/30731327/,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue,14,15,9,7,8,-7,47,11,NIH_iCite_RCR; OpenAlex_cited_by_count,RCR=NA; cited_by=50,JCR IF not auto-imported; journal-level IF is intentionally separated from article-level citation signals.,https://openalex.org/W2914285224,50,,domain_screen,not_assessed_public_draft,not_applicable,possible,possible,max_level_A,D,v0.5 综合评分：研究设计、终点价值、人类相关性、来源深度、RCR/OpenAlex 引用信号、发表地/期刊层级和风险扣分；期刊层级 C_indexed_or_identified 加 1 分；当前上限规则为 max_level_A，最终等级 D。,"v0.5 hybrid score using design, endpoint value, human relevance, source depth, RCR/OpenAlex signals, publication venue tier, and risk adjustments; venue tier C_indexed_or_identified adds 1; cap rule max_level_A; final level D.",C_indexed_or_identified,1,"Indexed or DOI/PMID-identifiable venue, but not in the curated high-weight venue list."
skin-sunscreen-photoaging-prevention-003,pubmed-38772426,38772426,10.1016/j.jaad.2024.02.065,PubMed,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,Sunscreens part 1: Mechanisms and efficacy.,,2025,Journal of the American Academy of Dermatology,review,lifestyle_topical,S1,photoaging,"As our knowledge of the harmful effects of ultraviolet radiation continues to evolve, sunscreen remains an integral part of a comprehensive photoprotection strategy against multiple endpoints of ultraviolet radiation-mediated damage. Part 1 of this review covers sunscreen active and additive ingredient properties, mechanisms of action and gaps in coverage. Following an overview of sunscreen's efficacy in protecting against sunburn, photocarcinogenesis, photoaging, pigmentary disorders, and idiopathic photodermatoses, we highlight considerations for product use and selection in children and individuals with skin of color.","中文草稿：该记录属于「防晒与光老化预防」主题，当前抽取到的英文摘要/题录结果为：As our knowledge of the harmful effects of ultraviolet radiation continues to evolve, sunscreen remains an integral part of a comprehensive photoprotection strategy against multiple endpoints of ultraviolet radiation-mediated damage. Part 1 of this review covers sunscreen active and additive ingredient properties, mechanisms of action and gaps in coverage. Following an overview of sunscreen's efficacy in protecting a",Draft conclusion: this record can inform Sunscreen and Photoaging Prevention but requires full-text review before public claims.,中文草稿结论：该记录可作为「防晒与光老化预防」的候选证据，但正式结论需要全文复核。,C,abstract_only,可支持：将该记录作为「防晒与光老化预防」的候选证据，并按 S1 皮肤终点继续复核。,不支持：不能据此声称逆龄、延寿、替代治疗，或给出产品/剂量/疗程建议。,支持长期防晒作为皮肤健康基础；不支持把防晒写成逆龄治疗。,false,medium,public_draft_not_fully_reviewed,2026-04-28,https://pubmed.ncbi.nlm.nih.gov/38772426/,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue,14,15,9,7,6,-7,45,8,NIH_iCite_RCR; OpenAlex_cited_by_count,RCR=NA; cited_by=17,JCR IF not auto-imported; journal-level IF is intentionally separated from article-level citation signals.,https://openalex.org/W4397289347,17,,domain_screen,not_assessed_public_draft,not_applicable,possible,possible,max_level_A,D,v0.5 综合评分：研究设计、终点价值、人类相关性、来源深度、RCR/OpenAlex 引用信号、发表地/期刊层级和风险扣分；期刊层级 C_indexed_or_identified 加 1 分；当前上限规则为 max_level_A，最终等级 D。,"v0.5 hybrid score using design, endpoint value, human relevance, source depth, RCR/OpenAlex signals, publication venue tier, and risk adjustments; venue tier C_indexed_or_identified adds 1; cap rule max_level_A; final level D.",C_indexed_or_identified,1,"Indexed or DOI/PMID-identifiable venue, but not in the curated high-weight venue list."
skin-sunscreen-photoaging-prevention-004,pubmed-33764577,33764577,10.1016/j.jaad.2020.04.079,PubMed,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,Photoprotection according to skin phototype and dermatoses: practical recommendations from an expert panel.,,2021,Journal of the European Academy of Dermatology and Venereology : JEADV,review,lifestyle_topical,S1,"pigmentation, photoaging","Increasing evidence on the impact of the different wavelengths of sunlight on the skin demonstrates the need for tailored recommendations of sunscreen according to skin phototype and dermatoses, which is now possible due to advances in the filters and formulations of sunscreens. A selective literature search was performed by an international expert panel, focusing on the type of sunscreen to recommend for photoaging, skin cancers, photodermatoses, pigmentary disorders and skin inflammatory disorders. Protection against ultraviolet (UV)B is especially important for light skin as there is a high risk of sunburn, DNA damage and skin cancers. Darker skin may be naturally better protected against UVB but is more prone to hyperpigmentation induced by visible light (VL) and UVA. Protection against UVA, VL and infrared A can be helpful for all skin phototypes as they penetrate deeply and cause p","中文草稿：该记录属于「防晒与光老化预防」主题，当前抽取到的英文摘要/题录结果为：Increasing evidence on the impact of the different wavelengths of sunlight on the skin demonstrates the need for tailored recommendations of sunscreen according to skin phototype and dermatoses, which is now possible due to advances in the filters and formulations of sunscreens. A selective literature search was performed by an international expert panel, focusing on the type of sunscreen to recommend for photoaging,",Draft conclusion: this record can inform Sunscreen and Photoaging Prevention but requires full-text review before public claims.,中文草稿结论：该记录可作为「防晒与光老化预防」的候选证据，但正式结论需要全文复核。,C,abstract_plus_open_pmc_available,可支持：将该记录作为「防晒与光老化预防」的候选证据，并按 S1 皮肤终点继续复核。,不支持：不能据此声称逆龄、延寿、替代治疗，或给出产品/剂量/疗程建议。,支持长期防晒作为皮肤健康基础；不支持把防晒写成逆龄治疗。,false,medium,public_draft_not_fully_reviewed,2026-04-28,https://pubmed.ncbi.nlm.nih.gov/33764577/,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue,14,15,9,10,10,-3,56,15,NIH_iCite_RCR; OpenAlex_cited_by_count,RCR=NA; cited_by=185,JCR IF not auto-imported; journal-level IF is intentionally separated from article-level citation signals.,https://openalex.org/W3019640062,185,,domain_screen,not_assessed_public_draft,not_applicable,possible,possible,max_level_A,C,v0.5 综合评分：研究设计、终点价值、人类相关性、来源深度、RCR/OpenAlex 引用信号、发表地/期刊层级和风险扣分；期刊层级 C_indexed_or_identified 加 1 分；当前上限规则为 max_level_A，最终等级 C。,"v0.5 hybrid score using design, endpoint value, human relevance, source depth, RCR/OpenAlex signals, publication venue tier, and risk adjustments; venue tier C_indexed_or_identified adds 1; cap rule max_level_A; final level C.",C_indexed_or_identified,1,"Indexed or DOI/PMID-identifiable venue, but not in the curated high-weight venue list."
skin-sunscreen-photoaging-prevention-005,pubmed-40233838,40233838,10.1016/j.jaad.2025.04.021,PubMed,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,Skincare ingredients recommended by cosmetic dermatologists: A Delphi consensus study.,,2025,Journal of the American Academy of Dermatology,review,lifestyle_topical,S1,"wrinkle, acne","There is ambiguity regarding the topical cosmetic ingredients preferred for common skin complaints. To determine which topical ingredients are frequently recommended by cosmetic dermatologists for fine lines and wrinkles, acne, redness, dark spots, large pores, dry skin, and oily skin. Literature review to develop long list of ingredients. Reduced by expert panel to most salient ingredients. Two rounds of Delphi consensus survey with second expert panel of clinicians and teachers. Comparative literature review to summarize published evidence supporting each consensus ingredient. List of 318 ingredients reduced by a panel of 17 dermatologists to 83. Two Delphi rounds completed by 62 dermatologists at 43 centers. Consensus achieved for 23 ingredients, including the following: azelaic acid (acne, dark spots); benzoyl peroxide (acne, oily skin); glycolic acid (acne, dark spots); mineral suns","中文草稿：该记录属于「防晒与光老化预防」主题，当前抽取到的英文摘要/题录结果为：There is ambiguity regarding the topical cosmetic ingredients preferred for common skin complaints. To determine which topical ingredients are frequently recommended by cosmetic dermatologists for fine lines and wrinkles, acne, redness, dark spots, large pores, dry skin, and oily skin. Literature review to develop long list of ingredients. Reduced by expert panel to most salient ingredients. Two rounds of Delphi cons",Draft conclusion: this record can inform Sunscreen and Photoaging Prevention but requires full-text review before public claims.,中文草稿结论：该记录可作为「防晒与光老化预防」的候选证据，但正式结论需要全文复核。,C,abstract_only,可支持：将该记录作为「防晒与光老化预防」的候选证据，并按 S1 皮肤终点继续复核。,不支持：不能据此声称逆龄、延寿、替代治疗，或给出产品/剂量/疗程建议。,支持长期防晒作为皮肤健康基础；不支持把防晒写成逆龄治疗。,false,medium,public_draft_not_fully_reviewed,2026-04-28,https://pubmed.ncbi.nlm.nih.gov/40233838/,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue,14,15,9,7,6,-7,45,4,NIH_iCite_RCR; OpenAlex_cited_by_count,RCR=NA; cited_by=4,JCR IF not auto-imported; journal-level IF is intentionally separated from article-level citation signals.,https://openalex.org/W4409417341,4,,domain_screen,not_assessed_public_draft,not_applicable,possible,possible,max_level_A,D,v0.5 综合评分：研究设计、终点价值、人类相关性、来源深度、RCR/OpenAlex 引用信号、发表地/期刊层级和风险扣分；期刊层级 C_indexed_or_identified 加 1 分；当前上限规则为 max_level_A，最终等级 D。,"v0.5 hybrid score using design, endpoint value, human relevance, source depth, RCR/OpenAlex signals, publication venue tier, and risk adjustments; venue tier C_indexed_or_identified adds 1; cap rule max_level_A; final level D.",C_indexed_or_identified,1,"Indexed or DOI/PMID-identifiable venue, but not in the curated high-weight venue list."
skin-sunscreen-photoaging-prevention-006,pubmed-35044638,35044638,10.1007/s12529-021-09993-x,PubMed,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,Photoprotection for Skin of Color.,,2022,American journal of clinical dermatology,review,lifestyle_topical,S1,"pigmentation, photoaging","Photoprotection behaviors can mitigate skin damage caused by ultraviolet radiation, and common methods include seeking shade, avoiding sun exposure during peak daylight hours, wearing sun-protective clothing, applying sunscreen, and using sunglasses. While the role of sun protection in preventing sunburns, photoaging, and skin cancer is well established in fair-skinned populations, individuals with skin of color (SOC) are presumed to suffer fewer negative effects from solar radiation. Thus, the importance of photoprotection in this population is understudied and may be underestimated. In SOC populations, sun exposure is known to cause pigmentary disorders, photoaging, and basal cell carcinoma (BCC), highlighting the potential benefits of photoprotection. Although SOC populations tend to practice photoprotection by seeking shade and wearing sun-protective clothing, survey and interview-ba","中文草稿：该记录属于「防晒与光老化预防」主题，当前抽取到的英文摘要/题录结果为：Photoprotection behaviors can mitigate skin damage caused by ultraviolet radiation, and common methods include seeking shade, avoiding sun exposure during peak daylight hours, wearing sun-protective clothing, applying sunscreen, and using sunglasses. While the role of sun protection in preventing sunburns, photoaging, and skin cancer is well established in fair-skinned populations, individuals with skin of color (SOC",Draft conclusion: this record can inform Sunscreen and Photoaging Prevention but requires full-text review before public claims.,中文草稿结论：该记录可作为「防晒与光老化预防」的候选证据，但正式结论需要全文复核。,C,abstract_plus_open_pmc_available,可支持：将该记录作为「防晒与光老化预防」的候选证据，并按 S1 皮肤终点继续复核。,不支持：不能据此声称逆龄、延寿、替代治疗，或给出产品/剂量/疗程建议。,支持长期防晒作为皮肤健康基础；不支持把防晒写成逆龄治疗。,false,medium,public_draft_not_fully_reviewed,2026-04-28,https://pubmed.ncbi.nlm.nih.gov/35044638/,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue,14,15,9,10,6,-3,52,6,NIH_iCite_RCR; OpenAlex_cited_by_count,RCR=NA; cited_by=7,JCR IF not auto-imported; journal-level IF is intentionally separated from article-level citation signals.,https://openalex.org/W3157491380,7,,domain_screen,not_assessed_public_draft,not_applicable,possible,possible,max_level_A,C,v0.5 综合评分：研究设计、终点价值、人类相关性、来源深度、RCR/OpenAlex 引用信号、发表地/期刊层级和风险扣分；期刊层级 C_indexed_or_identified 加 1 分；当前上限规则为 max_level_A，最终等级 C。,"v0.5 hybrid score using design, endpoint value, human relevance, source depth, RCR/OpenAlex signals, publication venue tier, and risk adjustments; venue tier C_indexed_or_identified adds 1; cap rule max_level_A; final level C.",C_indexed_or_identified,1,"Indexed or DOI/PMID-identifiable venue, but not in the curated high-weight venue list."
skin-sunscreen-photoaging-prevention-007,pubmed-33360043,33360043,10.1016/j.biopha.2020.111161,PubMed,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,Natural components in sunscreens: Topical formulations with sun protection factor (SPF).,,2021,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,review,lifestyle_topical,S1,"wrinkle, elasticity, hydration, photoaging, barrier","Artificial sunscreens are already gaining traction in order to protect the skin from sunburns, photoaging and photocarcinogenesis. However, the efficacy and safety of most artificial sunscreen constituents are hindered by their photostability, toxicity and damage to marine ecosystems. Natural selection and evolution have ensured that plants and animals have developed effective protective mechanisms against the deleterious side effects of oxidative stress and ultraviolet radiation (UV). Hence, natural antioxidants such as sun blockers are drawing considerable attention. The exact mechanism by which natural components act as sunscreen molecules has not been clearly established. However, conjugated π system is reported to play an important role in protecting the vital genetic material within the organism. Compared to artificial sunscreens, natural sunscreens with strong UV absorptive capaci","中文草稿：该记录属于「防晒与光老化预防」主题，当前抽取到的英文摘要/题录结果为：Artificial sunscreens are already gaining traction in order to protect the skin from sunburns, photoaging and photocarcinogenesis. However, the efficacy and safety of most artificial sunscreen constituents are hindered by their photostability, toxicity and damage to marine ecosystems. Natural selection and evolution have ensured that plants and animals have developed effective protective mechanisms against the delete",Draft conclusion: this record can inform Sunscreen and Photoaging Prevention but requires full-text review before public claims.,中文草稿结论：该记录可作为「防晒与光老化预防」的候选证据，但正式结论需要全文复核。,C,abstract_only,可支持：将该记录作为「防晒与光老化预防」的候选证据，并按 S1 皮肤终点继续复核。,不支持：不能据此声称逆龄、延寿、替代治疗，或给出产品/剂量/疗程建议。,支持长期防晒作为皮肤健康基础；不支持把防晒写成逆龄治疗。,false,medium,public_draft_not_fully_reviewed,2026-04-28,https://pubmed.ncbi.nlm.nih.gov/33360043/,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue,14,15,9,7,10,-7,52,15,NIH_iCite_RCR; OpenAlex_cited_by_count,RCR=NA; cited_by=170,JCR IF not auto-imported; journal-level IF is intentionally separated from article-level citation signals.,https://openalex.org/W3115421294,170,,domain_screen,not_assessed_public_draft,not_applicable,possible,possible,max_level_A,C,v0.5 综合评分：研究设计、终点价值、人类相关性、来源深度、RCR/OpenAlex 引用信号、发表地/期刊层级和风险扣分；期刊层级 B_reputable_specialty_or_broad 加 4 分；当前上限规则为 max_level_A，最终等级 C。,"v0.5 hybrid score using design, endpoint value, human relevance, source depth, RCR/OpenAlex signals, publication venue tier, and risk adjustments; venue tier B_reputable_specialty_or_broad adds 4; cap rule max_level_A; final level C.",B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides."
skin-sunscreen-photoaging-prevention-008,pubmed-33655657,33655657,10.1111/jocd.14033,PubMed,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,The impact of ultraviolet radiation on skin photoaging - review of in vitro studies.,,2021,Journal of cosmetic dermatology,review,lifestyle_topical,S1,photoaging,"Photoaging, ultra violet (UV) induced skin aging is a gradual process that depends on the time and intensity of solar radiation. The aim of this paper was to review of the literature focused on in vitro studies explaining the mechanisms of photoaging. Electronic databases, including PubMed and MEDLINE, were searched for in vitro studies on the importance of UV radiation in the skin photoaging process of peer-reviewed scientific journals. Only articles available in English and full version publications were considered for this review. Three main modes of UV radiation action on skin cells which lead to photoaging, there are changes in cell metabolism, induction of oxidative stress due to the change in enzyme activity. The information gathered in this publication will help to better understand the complex and multidirectional mechanism of skin photoaging, which will contribute to the develo","中文草稿：该记录属于「防晒与光老化预防」主题，当前抽取到的英文摘要/题录结果为：Photoaging, ultra violet (UV) induced skin aging is a gradual process that depends on the time and intensity of solar radiation. The aim of this paper was to review of the literature focused on in vitro studies explaining the mechanisms of photoaging. Electronic databases, including PubMed and MEDLINE, were searched for in vitro studies on the importance of UV radiation in the skin photoaging process of peer-reviewed",Draft conclusion: this record can inform Sunscreen and Photoaging Prevention but requires full-text review before public claims.,中文草稿结论：该记录可作为「防晒与光老化预防」的候选证据，但正式结论需要全文复核。,C,abstract_plus_open_pmc_available,可支持：将该记录作为「防晒与光老化预防」的候选证据，并按 S1 皮肤终点继续复核。,不支持：不能据此声称逆龄、延寿、替代治疗，或给出产品/剂量/疗程建议。,支持长期防晒作为皮肤健康基础；不支持把防晒写成逆龄治疗。,false,medium,public_draft_not_fully_reviewed,2026-04-28,https://pubmed.ncbi.nlm.nih.gov/33655657/,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue,14,15,9,10,10,-3,56,15,NIH_iCite_RCR; OpenAlex_cited_by_count,RCR=NA; cited_by=272,JCR IF not auto-imported; journal-level IF is intentionally separated from article-level citation signals.,https://openalex.org/W3135036858,272,,domain_screen,not_assessed_public_draft,not_applicable,possible,possible,max_level_A,C,v0.5 综合评分：研究设计、终点价值、人类相关性、来源深度、RCR/OpenAlex 引用信号、发表地/期刊层级和风险扣分；期刊层级 C_indexed_or_identified 加 1 分；当前上限规则为 max_level_A，最终等级 C。,"v0.5 hybrid score using design, endpoint value, human relevance, source depth, RCR/OpenAlex signals, publication venue tier, and risk adjustments; venue tier C_indexed_or_identified adds 1; cap rule max_level_A; final level C.",C_indexed_or_identified,1,"Indexed or DOI/PMID-identifiable venue, but not in the curated high-weight venue list."
skin-sunscreen-photoaging-prevention-009,pubmed-39913224,39913224,10.36849/JDD.8102,PubMed,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,Sunscreens: Mechanisms and Safety in Depth.,,2025,Journal of drugs in dermatology : JDD,review,lifestyle_topical,S1,photoaging,"Sunscreens play an essential role in preventing skin cancer and photoaging. Nevertheless, concerns about their systemic absorption and environmental impacts persist. In this extensive literature review, we discuss the mechanisms of action, efficacy, and safety concerns related to sunscreen use, aiming to clarify current understandings and dispel prevalent myths. Despite ongoing debates regarding certain ingredients, the scientific consensus supports the use of sunscreens as a critical defense against ultraviolet (UV) radiation. Continued research is necessary to address safety concerns and to refine sunscreen formulations for optimal protection and minimal adverse effects. J Drugs Dermatol. 2025;24(2):142-146. doi:10.36849/JDD.8102.","中文草稿：该记录属于「防晒与光老化预防」主题，当前抽取到的英文摘要/题录结果为：Sunscreens play an essential role in preventing skin cancer and photoaging. Nevertheless, concerns about their systemic absorption and environmental impacts persist. In this extensive literature review, we discuss the mechanisms of action, efficacy, and safety concerns related to sunscreen use, aiming to clarify current understandings and dispel prevalent myths. Despite ongoing debates regarding certain ingredients, ",Draft conclusion: this record can inform Sunscreen and Photoaging Prevention but requires full-text review before public claims.,中文草稿结论：该记录可作为「防晒与光老化预防」的候选证据，但正式结论需要全文复核。,C,abstract_only,可支持：将该记录作为「防晒与光老化预防」的候选证据，并按 S1 皮肤终点继续复核。,不支持：不能据此声称逆龄、延寿、替代治疗，或给出产品/剂量/疗程建议。,支持长期防晒作为皮肤健康基础；不支持把防晒写成逆龄治疗。,false,medium,public_draft_not_fully_reviewed,2026-04-28,https://pubmed.ncbi.nlm.nih.gov/39913224/,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue,14,15,9,7,6,-7,45,2,NIH_iCite_RCR; OpenAlex_cited_by_count,RCR=NA; cited_by=1,JCR IF not auto-imported; journal-level IF is intentionally separated from article-level citation signals.,https://openalex.org/W4407219620,1,,domain_screen,not_assessed_public_draft,not_applicable,possible,possible,max_level_A,D,v0.5 综合评分：研究设计、终点价值、人类相关性、来源深度、RCR/OpenAlex 引用信号、发表地/期刊层级和风险扣分；期刊层级 C_indexed_or_identified 加 1 分；当前上限规则为 max_level_A，最终等级 D。,"v0.5 hybrid score using design, endpoint value, human relevance, source depth, RCR/OpenAlex signals, publication venue tier, and risk adjustments; venue tier C_indexed_or_identified adds 1; cap rule max_level_A; final level D.",C_indexed_or_identified,1,"Indexed or DOI/PMID-identifiable venue, but not in the curated high-weight venue list."
skin-sunscreen-photoaging-prevention-010,pubmed-35229368,35229368,10.1111/php.13525,PubMed,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,Melasma: The need for tailored photoprotection to improve clinical outcomes.,,2022,"Photodermatology, photoimmunology & photomedicine",review,lifestyle_topical,S1,photoaging,"Melasma is a frequent photoexacerbated hyperpigmentary disorder, which can significantly impact on the quality of life. We sought to review the pathogenesis of melasma, and the role of photoprotection in the prevention and treatment of this disorder. We conducted a narrative review of the literature. We performed literature searches with PubMed from January 1990 to December 2021 using the keywords ""melasma,"" ""pathogenesis,"" ""ultraviolet radiation,"" ""visible light,"" ""photoprotection,"" and ""sunscreens."" The physiopathology of melasma includes a complex interaction between genetics, sex hormones, and sun exposure. Visible light, in particular high-energy visible light (HEVL), and long-wave UVA (UVA1) play a key role in melasma pathophysiology, and recent research suggests that melasma shares many features with photoaging disorders. Melasma disproportionately affects dark-skinned individuals","中文草稿：该记录属于「防晒与光老化预防」主题，当前抽取到的英文摘要/题录结果为：Melasma is a frequent photoexacerbated hyperpigmentary disorder, which can significantly impact on the quality of life. We sought to review the pathogenesis of melasma, and the role of photoprotection in the prevention and treatment of this disorder. We conducted a narrative review of the literature. We performed literature searches with PubMed from January 1990 to December 2021 using the keywords ""melasma,"" ""pathoge",Draft conclusion: this record can inform Sunscreen and Photoaging Prevention but requires full-text review before public claims.,中文草稿结论：该记录可作为「防晒与光老化预防」的候选证据，但正式结论需要全文复核。,C,abstract_plus_open_pmc_available,可支持：将该记录作为「防晒与光老化预防」的候选证据，并按 S1 皮肤终点继续复核。,不支持：不能据此声称逆龄、延寿、替代治疗，或给出产品/剂量/疗程建议。,支持长期防晒作为皮肤健康基础；不支持把防晒写成逆龄治疗。,false,medium,public_draft_not_fully_reviewed,2026-04-28,https://pubmed.ncbi.nlm.nih.gov/35229368/,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue,14,15,9,10,8,-3,57,9,NIH_iCite_RCR; OpenAlex_cited_by_count,RCR=NA; cited_by=25,JCR IF not auto-imported; journal-level IF is intentionally separated from article-level citation signals.,https://openalex.org/W3200781246,25,,domain_screen,not_assessed_public_draft,not_applicable,possible,possible,max_level_A,C,v0.5 综合评分：研究设计、终点价值、人类相关性、来源深度、RCR/OpenAlex 引用信号、发表地/期刊层级和风险扣分；期刊层级 B_reputable_specialty_or_broad 加 4 分；当前上限规则为 max_level_A，最终等级 C。,"v0.5 hybrid score using design, endpoint value, human relevance, source depth, RCR/OpenAlex signals, publication venue tier, and risk adjustments; venue tier B_reputable_specialty_or_broad adds 4; cap rule max_level_A; final level C.",B_reputable_specialty_or_broad,4,"Indexed specialty or broad journal commonly seen in the atlas. Useful signal, but article-level quality still decides."
