candidate_id,source,pmid,doi,title_en,topic_id,previous_query,previous_status,decision,reason,duplicate_of,retired_date,recovery_source
clinicaltrials-NCT06693271,ClinicalTrials.gov,,,"Investigating the Combined Effects of Protein, Blueberries, and Exercise on Cardiovascular Health and Frailty in Older Nova Scotians",physical-activity-healthspan,frailty_multidomain,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
clinicaltrials-NCT06975540,ClinicalTrials.gov,,,Synergy of Exercise and Nutrition in Preventing and Treating Frailty,physical-activity-healthspan,frailty_multidomain,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
crossref-10.1097/md.0000000000030689,Crossref,,10.1097/md.0000000000030689,Preoperative walking intervention did not appear to improve patient-reported postoperative recovery in older adults with frailty traits: Randomized trial,physical-activity-healthspan,frailty_multidomain_interventions,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
crossref-10.21203/rs.3.rs-3238684/v1,Crossref,,10.21203/rs.3.rs-3238684/v1,Physical activity interventions to reduce fear of falling in older adults with frailty: a systematic review of randomized controlled trials,physical-activity-healthspan,frailty_multidomain_interventions,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
pubmed-10353069,PubMed,10353069,10.1177/204748739900600206,Lipoprotein (a) and apoprotein B in an apparently healthy population of fighter pilots and ground personnel: their significance as potential markers of atherosclerosis.,ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
pubmed-10389215,PubMed,10389215,,Multilocus approach to cardiovascular risk.,ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
pubmed-1645643,PubMed,1645643,10.1016/0197-2456(91)90028-k,Program on the Surgical Control of the Hyperlipidemias (POSCH): patient entry characteristics. The POSCH Group.,ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
pubmed-1952472,PubMed,1952472,10.7326/0003-4819-115-11-860,Effects of tamoxifen on cardiovascular risk factors in postmenopausal women.,ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
pubmed-20301298,PubMed,20301298,,Dystrophinopathies.,resistance-training-muscle,resistance-training-muscle__recent_update_2026_09_mid,intake_pending_curation,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
pubmed-23564803,PubMed,23564803,,Obesity and physical inactivity are related to impaired physical health of breast cancer survivors.,ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk__high_design,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
pubmed-24374232,PubMed,24374232,10.1016/j.arr.2013.12.005,Redox proteomics and the dynamic molecular landscape of the aging brain.,caloric-restriction-human,caloric-restriction-human__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
pubmed-24388149,PubMed,24388149,10.1016/j.tem.2013.12.001,SIRT1 and other sirtuins in metabolism.,caloric-restriction-human,caloric-restriction-human__recent_review_trial,active_candidate_needs_review,retired_from_active_candidate_pool,topic_capacity_limit,,2026-09-13,Git history and prior public-data snapshots
