finding_id,candidate_id,pmid,doi,title_en,topic_id,study_type,species,previous_level,decision,reason,retired_date,recovery_source
finding-pubmed-30725910,pubmed-30725910,30725910,,Amitriptyline.,sleep-aging,metadata_only_needs_classification,needs_review,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-30969530,pubmed-30969530,30969530,,Sudden Death in Athletes.,physical-activity-healthspan,metadata_only_needs_classification,needs_review,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-31070746,pubmed-31070746,31070746,10.1093/jn/nxz051,The Japanese Dietary Pattern Is Associated with Longer Disability-Free Survival Time in the General Elderly Population in the Ohsaki Cohort 2006 Study.,dietary-pattern-longevity,human_cohort,human,B,retired_from_active_findings,topic_capacity_limit,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-36251836,pubmed-36251836,36251836,,Tirzepatide.,glp1-weight-cardiometabolic,metadata_only_needs_classification,needs_review,E,retired_from_active_findings,topic_capacity_limit,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-40272395,pubmed-40272395,40272395,10.1093/ptj/pzaf057,Optimal Dose of Aerobic Exercise Programs to Reduce Pain Intensity and Improve Health Status in Patients With Fibromyalgia: A Dose-Response Meta-Analysis.,physical-activity-healthspan,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_capacity_limit,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-40578653,pubmed-40578653,40578653,10.1016/j.psychsport.2025.102925,The effects of chronic exercise interventions on executive function in healthy older adults and optimal training characteristics: A systematic review based on randomized controlled trials.,physical-activity-healthspan,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_capacity_limit,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-40640082,pubmed-40640082,40640082,10.1097/CM9.0000000000003648,Perioperative dexmedetomidine reduces the risk of postoperative complications in high-risk patients undergoing non-cardiac surgery: A randomized controlled trial.,sleep-aging,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-41494820,pubmed-41494820,41494820,10.1136/archdischild-2025-329747,Ethical considerations for semaglutide use in children.,glp1-weight-cardiometabolic,narrative_review,human,E,retired_from_active_findings,topic_capacity_limit,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-41610147,pubmed-41610147,41610147,10.1093/asj/sjag026,Evaluating the Use of 5-Factor Modified Frailty Index to Predict Wound-Healing Complications in Reduction Mammoplasty.,resistance-training-muscle,metadata_only_needs_classification,human,E,retired_from_active_findings,topic_scope_mismatch,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-41621779,pubmed-41621779,41621779,10.1016/j.jmb.2026.169667,"VarXOmics: A Versatile Web Server for Genomic Data Querying, Analysis, and Variant Prioritization With Multi-omics Insights.",microbiome-inflammaging,metadata_only_needs_classification,human,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-41672527,pubmed-41672527,41672527,10.2169/internalmedicine.6577-25,Neutrophil-to-lymphocyte Ratio as a Prognostic Indicator in Patients with Nursing and Healthcare-associated Pneumonia: A Retrospective Study.,blood-pressure-aging,metadata_only_needs_classification,human,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-41771068,pubmed-41771068,41771068,10.1093/ejhf/xuaf016,"Rationale and design of a randomized, sham-controlled, clinical trial for evaluation of the Edwards APTURE transcatheter shunt system (ALT-FLOW II).",physical-activity-healthspan,protocol_or_registered_plan,human,E,retired_from_active_findings,protocol_or_registered_plan,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-41885139,pubmed-41885139,41885139,10.1093/eurheartj/ehag144,Senescent obesity signature in breast cancer: a paradigm of reverse cardio-oncology.,senolytics,narrative_review,human,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-41934630,pubmed-41934630,41934630,10.1093/ehjqcco/qcag055,Validating national registry data for randomized trials: comparison of registry-derived cardiovascular events with and without adjudication in the BETAMI-DANBLOCK trial.,blood-pressure-aging,human_randomized_or_clinical_trial,human,B,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-41944030,pubmed-41944030,41944030,10.5009/gnl250341,Prognostic Role of Acute-on-Chronic Liver Failure in Acute Variceal Bleeding: A Multicenter Retrospective Study in Australia.,blood-pressure-aging,metadata_only_needs_classification,human,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-41990363,pubmed-41990363,41990363,10.1093/ejhf/xuag114,Hemodynamic changes in response to GLP-1 treatment in ICD and CRT patients: insights from HeartLogic sensor data.,glp1-weight-cardiometabolic,metadata_only_needs_classification,human,E,retired_from_active_findings,topic_capacity_limit,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-41992281,pubmed-41992281,41992281,10.1097/MJT.0000000000002132,Two-Year Biomarker Trends and Kidney/Mortality Outcomes After Semaglutide Versus Phentermine-Topiramate and Naltrexone-Bupropion in People With Obesity and Without Diabetes.,glp1-weight-cardiometabolic,metadata_only_needs_classification,human,C,retired_from_active_findings,topic_capacity_limit,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42035239,pubmed-42035239,42035239,10.1093/ehjqcco/qcag074,Tafamidis in women with wild-type transthyretin cardiac amyloidosis: an international cohort study.,blood-pressure-aging,human_cohort,human,B,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42060953,pubmed-42060953,42060953,10.1016/j.archger.2026.106274,Does insomnia severity increase the risk of dementia? A 7-year longitudinal study.,sleep-aging,human_cohort,human,C,retired_from_active_findings,topic_capacity_limit,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42065687,pubmed-42065687,42065687,10.1016/j.jneb.2026.03.009,Sedentary Behavior Intervention as a Catalyst for Healthier Eating.,physical-activity-healthspan,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_capacity_limit,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42071269,pubmed-42071269,42071269,10.1002/ijc.70517,Higher Daytime Light Exposure Predicts Lower Risk of Gastrointestinal Cancer Incidence and Mortality.,sleep-aging,human_cohort,human,B,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42105622,pubmed-42105622,42105622,10.1016/j.theriogenology.2026.117980,"Nicotinamide mononucleotide (NMN) improves the ovarian microenvironment associated with oocyte quality by increasing estrogen signaling, reprogramming ovarian metabolism, reducing oxidative stress, and inhibiting apoptosis in the spotted scat (Scatophagus argus).",nad-nmn-nr-aging,mechanistic_or_cell_study,human,E,retired_from_active_findings,topic_scope_mismatch,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42107753,pubmed-42107753,42107753,10.1016/j.jep.2026.121846,Mechanism of Jianpi Qinghua granule in ameliorating metabolic dysfunction-associated fatty liver disease by targeting the DNMT-urea cycle axis.,senolytics,animal_study,mouse,D,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42118075,pubmed-42118075,42118075,10.1097/BRS.0000000000005733,Incidence and Causes of Death After Cervical or Thoracolumbar Adult Spinal Deformity Surgery.,resistance-training-muscle,metadata_only_needs_classification,human,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42128075,pubmed-42128075,42128075,10.1016/j.jep.2026.121850,Targeting atherosclerosis with medicine and food homology substances: Mechanistic insights and application strategies.,microbiome-inflammaging,narrative_review,human,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42134555,pubmed-42134555,42134555,10.1016/j.toxicon.2026.109152,Neural and metabolic mechanisms of emetogenic foodborne toxins via the brain-gut axis in ageing and cachexia.,microbiome-inflammaging,narrative_review,human,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42142553,pubmed-42142553,42142553,10.1016/j.jep.2026.121873,Jintiange ameliorates age-related sarcopenia by inhibiting the cGAS-STING signaling pathway via maintaining mitochondrial homeostasis.,resistance-training-muscle,animal_study,mouse,D,retired_from_active_findings,nonhuman_record_in_human_outcome_topic,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42142555,pubmed-42142555,42142555,10.1016/j.jep.2026.121869,Host-microbial co-mediated C-sulfonation attenuates celastrol hepatotoxicity while preserving anti-rheumatic efficacy.,microbiome-inflammaging,animal_study,mouse,D,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42178112,pubmed-42178112,42178112,10.1016/j.ijcard.2026.134573,Transforming post-STEMI care: The IMPACS study design and baseline patient profile.,blood-pressure-aging,metadata_only_needs_classification,human,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42213742,pubmed-42213742,42213742,10.3238/arztebl.m2026.0074,Hepatic Steatosis: A Pandemic Disease Causing Serious Secondary Diseases.,sleep-aging,narrative_review,human,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42217849,pubmed-42217849,42217849,10.1016/j.jocn.2026.112089,GLP-1 receptor agonists and post-endovascular thrombectomy outcomes in acute ischemic stroke: a multicenter propensity score matched analysis.,glp1-weight-cardiometabolic,metadata_only_needs_classification,human,C,retired_from_active_findings,topic_capacity_limit,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42235730,pubmed-42235730,42235730,10.1016/j.cca.2026.121139,Inflammatory biomarkers in chronic kidney disease.,microbiome-inflammaging,narrative_review,needs_review,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42242808,pubmed-42242808,42242808,10.1016/j.aca.2026.345708,Neutral molecular networks: Polarity-independent tool for mass spectrometry data.,nad-nmn-nr-aging,metadata_only_needs_classification,human,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42248063,pubmed-42248063,42248063,10.1016/j.ijmedinf.2026.106515,Wearable devices for improving medication adherence in older adults with chronic conditions: A systematic review.,blood-pressure-aging,systematic_review_or_meta_analysis,human,E,retired_from_active_findings,title_topic_signal_missing,2026-09-21,Git history and prior public-data snapshots
finding-pubmed-42264139,pubmed-42264139,42264139,10.1016/j.lfs.2026.124527,HDAC2-mediated H3K27ac Governs ZFP42 transcription and autophagy in granulosa cells of pigs.,autophagy-mitophagy,animal_study,animal,D,retired_from_active_findings,topic_scope_mismatch,2026-09-21,Git history and prior public-data snapshots
