summary_id,topic_id,title_zh,title_en,current_public_position_zh,current_public_position_en,evidence_level_top,recommendation_boundary,finding_count,formal_matrix_count,pmc_or_abstract_count,metadata_only_count,what_we_know_zh,what_remains_uncertain_zh,reader_boundary_zh,github_topic_path,status,last_checked,domain,entry_type,quality_confidence_median,scoring_version
summary-01-cardiorespiratory-fitness,cardiorespiratory-fitness,心肺适能与死亡风险,Cardiorespiratory Fitness and Mortality,目前最值得优先关注的健康寿命指标之一；较高心肺适能与更低死亡和心血管风险高度相关。,Public draft position for Cardiorespiratory Fitness and Mortality; see bilingual topic page for evidence boundaries.,A,public_health_or_lifestyle_boundary,280,242,280,0,证据主要支持把心肺适能作为风险分层、运动干预和长期健康管理的核心指标。,不同疾病人群、测试方式和干预强度之间仍需全文复核和分层。,可作为生活方式优先方向；个体运动处方需结合年龄、疾病和医生评估。,content/topics/cardiorespiratory-fitness.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,80,v0.5_expanded_selection_plus_v0.4_scoring
summary-02-physical-activity-healthspan,physical-activity-healthspan,身体活动与健康寿命,Physical Activity and Healthspan,整体证据方向稳定：规律身体活动支持更好的健康结局和功能维持。,Public draft position for Physical Activity and Healthspan; see bilingual topic page for evidence boundaries.,A,public_health_or_lifestyle_boundary,372,322,372,0,活动量、减少久坐和功能维持具有稳定公共健康价值。,最佳剂量、强度组合和慢病人群个体化方案仍需分层。,支持行动方向，不等于给出单一万能运动处方。,content/topics/physical-activity-healthspan.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,80,v0.5_expanded_selection_plus_v0.4_scoring
summary-03-resistance-training-muscle,resistance-training-muscle,抗阻训练、肌肉与衰弱,"Resistance Training, Muscle, and Frailty",肌肉量、力量和功能是健康寿命的关键支点；抗阻训练是高优先级主题。,"Public draft position for Resistance Training, Muscle, and Frailty; see bilingual topic page for evidence boundaries.",A,public_health_or_lifestyle_boundary,280,233,280,0,证据支持抗阻训练和综合运动对肌少、衰弱和功能下降的管理价值。,训练模式、营养配合和不同风险人群仍需细分。,可作为健康管理重点；高龄、骨质疏松或慢病人群需专业评估。,content/topics/resistance-training-muscle.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,76,v0.5_expanded_selection_plus_v0.4_scoring
summary-04-blood-pressure-aging,blood-pressure-aging,血压与健康寿命,Blood Pressure and Healthspan,血压控制是心脑血管风险和健康寿命管理中证据最成熟的方向之一。,Public draft position for Blood Pressure and Healthspan; see bilingual topic page for evidence boundaries.,A,public_health_or_lifestyle_boundary,308,253,308,0,硬终点、人群相关性和临床可行动性较强。,不同年龄、虚弱状态和共病人群的目标值不能一刀切。,支持监测和医学管理；不提供药物选择或剂量建议。,content/topics/blood-pressure-aging.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,76,v0.5_expanded_selection_plus_v0.4_scoring
summary-05-ldl-apob-cardiovascular-risk,ldl-apob-cardiovascular-risk,LDL-C/apoB 与心血管风险,LDL-C/apoB and Cardiovascular Risk,动脉粥样硬化风险管理中的核心证据方向；apoB/LDL-C 是重要风险指标。,Public draft position for LDL-C/apoB and Cardiovascular Risk; see bilingual topic page for evidence boundaries.,A,public_health_or_lifestyle_boundary,280,218,280,0,遗传、队列和临床干预证据共同支持风险解释价值。,个体治疗阈值和药物策略需结合总体风险。,支持筛查和风险管理；药物治疗必须由医生决定。,content/topics/ldl-apob-cardiovascular-risk.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,76,v0.5_expanded_selection_plus_v0.4_scoring
summary-06-dietary-pattern-longevity,dietary-pattern-longevity,饮食模式与死亡风险,Dietary Patterns and Mortality,饮食模式比单一补剂更适合作为对外健康建议框架。,Public draft position for Dietary Patterns and Mortality; see bilingual topic page for evidence boundaries.,A,public_health_or_lifestyle_boundary,280,246,280,0,整体饮食质量、能量平衡和食物结构比单一成分更有解释力。,不同文化和疾病背景下不能简单复制同一饮食方案。,支持模式层面的建议，不支持神化单一食物或补剂。,content/topics/dietary-pattern-longevity.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,80,v0.5_expanded_selection_plus_v0.4_scoring
summary-07-sleep-aging,sleep-aging,睡眠与健康结局,Sleep and Aging Outcomes,睡眠是认知、代谢、心血管和整体健康的重要基础变量。,Public draft position for Sleep and Aging Outcomes; see bilingual topic page for evidence boundaries.,A,public_health_or_lifestyle_boundary,280,181,280,0,睡眠时长、质量和睡眠障碍与多类健康结局相关。,因果方向和具体干预效果仍需区分。,支持识别和管理睡眠问题；严重失眠、睡眠呼吸暂停需医疗评估。,content/topics/sleep-aging.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,71,v0.5_expanded_selection_plus_v0.4_scoring
summary-08-glp1-weight-cardiometabolic,glp1-weight-cardiometabolic,GLP-1、减重与心代谢结局,"GLP-1, Weight Loss, and Cardiometabolic Outcomes",临床证据增长很快，主要价值在肥胖、糖代谢和心代谢风险管理。,"Public draft position for GLP-1, Weight Loss, and Cardiometabolic Outcomes; see bilingual topic page for evidence boundaries.",A,medical_or_research_only,280,224,280,0,人体试验和真实世界研究显示体重、糖代谢和心血管相关收益。,长期安全性、停药维持和非适应证使用边界仍需谨慎。,这是医疗主题，不是普通抗衰保健建议；必须医生监督。,content/topics/glp1-weight-cardiometabolic.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,74,v0.5_expanded_selection_plus_v0.4_scoring
summary-09-caloric-restriction-human,caloric-restriction-human,热量限制与人体衰老,Caloric Restriction in Humans,人体证据有价值但边界明显，不能直接等同于延寿已证实。,Public draft position for Caloric Restriction in Humans; see bilingual topic page for evidence boundaries.,B,public_health_or_lifestyle_boundary,280,122,280,0,更适合讨论代谢、风险因子和生物标志物改善。,长期依从性、安全性、肌肉骨骼影响和真实寿命终点仍不充分。,不建议盲目长期极端节食；需关注营养充足和个体风险。,content/topics/caloric-restriction-human.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,67,v0.5_expanded_selection_plus_v0.4_scoring
summary-10-time-restricted-eating,time-restricted-eating,限时进食与代谢健康,Time-Restricted Eating and Metabolic Health,可作为代谢健康候选策略，但证据强度和适用人群仍不稳定。,Public draft position for Time-Restricted Eating and Metabolic Health; see bilingual topic page for evidence boundaries.,B,public_health_or_lifestyle_boundary,280,217,280,0,部分研究提示体重、胰岛素敏感性或进食行为改善。,与热量减少的独立作用、长期效果和不良反应仍需复核。,糖尿病、孕期、进食障碍或用药人群不应自行尝试。,content/topics/time-restricted-eating.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,74,v0.5_expanded_selection_plus_v0.4_scoring
summary-11-metformin-aging,metformin-aging,二甲双胍与衰老,Metformin and Aging,二甲双胍与衰老 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,Public draft position for Metformin and Aging; see bilingual topic page for evidence boundaries.,B,medical_or_research_only,280,218,280,0,当前证据可用于建立候选主题和复核优先级。,终点硬度、人群外推、长期安全性和因果关系仍需全文复核。,不支持把候选证据写成个人医疗、补剂或抗衰处方。,content/topics/metformin-aging.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,80,v0.5_expanded_selection_plus_v0.4_scoring
summary-12-rapamycin-mtor-aging,rapamycin-mtor-aging,雷帕霉素/mTOR 与衰老,Rapamycin/mTOR and Aging,雷帕霉素/mTOR 与衰老 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,Public draft position for Rapamycin/mTOR and Aging; see bilingual topic page for evidence boundaries.,C,medical_or_research_only,280,0,280,0,当前证据可用于建立候选主题和复核优先级。,终点硬度、人群外推、长期安全性和因果关系仍需全文复核。,不支持把候选证据写成个人医疗、补剂或抗衰处方。,content/topics/rapamycin-mtor-aging.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,53,v0.5_expanded_selection_plus_v0.4_scoring
summary-13-senolytics,senolytics,Senolytics 清除衰老细胞,Senolytics,Senolytics 清除衰老细胞 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,Public draft position for Senolytics; see bilingual topic page for evidence boundaries.,C,medical_or_research_only,280,0,280,0,当前证据可用于建立候选主题和复核优先级。,终点硬度、人群外推、长期安全性和因果关系仍需全文复核。,不支持把候选证据写成个人医疗、补剂或抗衰处方。,content/topics/senolytics.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,53,v0.5_expanded_selection_plus_v0.4_scoring
summary-14-nad-nmn-nr-aging,nad-nmn-nr-aging,NAD/NMN/NR,NAD/NMN/NR,NAD/NMN/NR 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,Public draft position for NAD/NMN/NR; see bilingual topic page for evidence boundaries.,C,do_not_overclaim,280,0,280,0,当前证据可用于建立候选主题和复核优先级。,终点硬度、人群外推、长期安全性和因果关系仍需全文复核。,不支持把候选证据写成个人医疗、补剂或抗衰处方。,content/topics/nad-nmn-nr-aging.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,56,v0.5_expanded_selection_plus_v0.4_scoring
summary-15-epigenetic-clocks,epigenetic-clocks,表观遗传时钟,Epigenetic Clocks,表观遗传时钟 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,Public draft position for Epigenetic Clocks; see bilingual topic page for evidence boundaries.,B,do_not_overclaim,280,156,280,0,当前证据可用于建立候选主题和复核优先级。,终点硬度、人群外推、长期安全性和因果关系仍需全文复核。,不支持把候选证据写成个人医疗、补剂或抗衰处方。,content/topics/epigenetic-clocks.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,69,v0.5_expanded_selection_plus_v0.4_scoring
summary-16-itp-mouse-lifespan,itp-mouse-lifespan,ITP 小鼠寿命干预,ITP Mouse Lifespan Interventions,ITP 小鼠寿命干预 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,Public draft position for ITP Mouse Lifespan Interventions; see bilingual topic page for evidence boundaries.,D,research_only,165,0,165,0,当前证据可用于建立候选主题和复核优先级。,终点硬度、人群外推、长期安全性和因果关系仍需全文复核。,不支持把候选证据写成个人医疗、补剂或抗衰处方。,content/topics/itp-mouse-lifespan.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,47,v0.5_expanded_selection_plus_v0.4_scoring
summary-17-klotho-il11-aging,klotho-il11-aging,Klotho / IL-11,Klotho / IL-11,Klotho / IL-11 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,Public draft position for Klotho / IL-11; see bilingual topic page for evidence boundaries.,C,research_only,280,0,280,0,当前证据可用于建立候选主题和复核优先级。,终点硬度、人群外推、长期安全性和因果关系仍需全文复核。,不支持把候选证据写成个人医疗、补剂或抗衰处方。,content/topics/klotho-il11-aging.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,61,v0.5_expanded_selection_plus_v0.4_scoring
summary-18-partial-reprogramming,partial-reprogramming,部分重编程,Partial Reprogramming,部分重编程 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,Public draft position for Partial Reprogramming; see bilingual topic page for evidence boundaries.,D,research_only,275,0,275,0,当前证据可用于建立候选主题和复核优先级。,终点硬度、人群外推、长期安全性和因果关系仍需全文复核。,不支持把候选证据写成个人医疗、补剂或抗衰处方。,content/topics/partial-reprogramming.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,47,v0.5_expanded_selection_plus_v0.4_scoring
summary-19-autophagy-mitophagy,autophagy-mitophagy,自噬/线粒体自噬,Autophagy and Mitophagy,自噬/线粒体自噬 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,Public draft position for Autophagy and Mitophagy; see bilingual topic page for evidence boundaries.,C,do_not_overclaim,280,0,280,0,当前证据可用于建立候选主题和复核优先级。,终点硬度、人群外推、长期安全性和因果关系仍需全文复核。,不支持把候选证据写成个人医疗、补剂或抗衰处方。,content/topics/autophagy-mitophagy.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,52,v0.5_expanded_selection_plus_v0.4_scoring
summary-20-microbiome-inflammaging,microbiome-inflammaging,微生物组与炎症性衰老,Microbiome and Inflammaging,微生物组与炎症性衰老 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,Public draft position for Microbiome and Inflammaging; see bilingual topic page for evidence boundaries.,B,do_not_overclaim,280,168,280,0,当前证据可用于建立候选主题和复核优先级。,终点硬度、人群外推、长期安全性和因果关系仍需全文复核。,不支持把候选证据写成个人医疗、补剂或抗衰处方。,content/topics/microbiome-inflammaging.md,public_draft_not_fully_reviewed,2026-04-29,longevity_healthspan,topic_summary,73,v0.5_expanded_selection_plus_v0.4_scoring
