entry_id,公开标题,阅读顺序,中文名称,English title,适合谁,一句话说明,GitHub链接,飞书链接,资产类型,冻结日期,复核日期,品牌标识,Brand,SEO关键词,状态
R001,宇多Yul细胞/yulcell | 普通读者入口：从这里开始,01,普通读者入口：从这里开始,Start here,第一次打开项目的人,先弄清项目能回答什么、不能回答什么。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/start-here.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tbljh1Xmkn6RYWPD,阅读入口,2026-08-28,2026-08-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R002,宇多Yul细胞/yulcell | 2026 年 8 月底精编更新,02,2026 年 8 月底精编更新,End-August 2026 curated update,所有读者,先看这次为什么一边补文献、一边删噪声。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/end-august-2026-update.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tbljh1Xmkn6RYWPD,更新说明,2026-08-28,2026-08-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R003,宇多Yul细胞/yulcell | 15 条结论,03,15 条结论,15 takeaways,普通读者、学生,先建立判断抗衰说法的基本框架。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/ten-takeaways.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tbljh1Xmkn6RYWPD,阅读入口,2026-08-28,2026-08-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R004,宇多Yul细胞/yulcell | 证据权重怎么看,04,证据权重怎么看,How evidence is weighted,想学会判断证据的人,分清人体结局、指标、动物和机制研究。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/evidence-weight.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblLnS2g439w9pir,方法说明,2026-08-28,2026-08-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R005,宇多Yul细胞/yulcell | 大众主题速读,05,大众主题速读,Topic guide,关心运动、睡眠和代谢的人,按主题读结论，不必先翻论文。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/topics.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblgAIsjA1UR4jLr,阅读入口,2026-08-28,2026-08-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R006,宇多Yul细胞/yulcell | 最常见 30 个补剂,06,最常见 30 个补剂,30 common supplements,想查补剂的人,先看常见误解和安全边界。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/supplements-top-30.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tbliLsUC2T8lXHla,补剂入口,2026-08-28,2026-08-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R007,宇多Yul细胞/yulcell | 护肤与外观抗老速读,07,护肤与外观抗老速读,Skin and appearance guide,关心防晒、皱纹和医美的人,把皮肤改善和延长寿命分开看。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/skin.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tbliLsUC2T8lXHla,皮肤入口,2026-08-28,2026-08-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R008,宇多Yul细胞/yulcell | 哪些内容必须先问医生,08,哪些内容必须先问医生,Doctor-first topics,涉及药物和慢病的人,药物、慢病和高风险干预先找专业人员。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/doctor-first.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tbljh1Xmkn6RYWPD,安全边界,2026-08-28,2026-08-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R009,宇多Yul细胞/yulcell | 研究热力图,09,研究热力图,Research heatmaps,想看全局结构的人,颜色深表示记录多，不表示干预更有效。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/research-heatmap.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblASMHdK01yuvjL,视觉入口,2026-08-28,2026-08-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R010,宇多Yul细胞/yulcell | 50 成分卡,10,50 成分卡,50 ingredient cards,发帖和查成分的人,每张卡都同时写证据和不能支持的说法。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/ingredient-cards-top-50.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tbliLsUC2T8lXHla,视觉入口,2026-08-28,2026-08-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
